step,day,k,p_load_fc_646_kw,p_pv_fc_646_kw,p_load_646_kw,p_pv_646_kw,baseline_grid_646_kw,battery_646_kw,battery_action,grid_646_kw,grid_646_forecast_kw,soc_predicted_pct,soc_measured_pct,feeder_baseline_grid_kw,feeder_grid_with_cil_kw,mpc_status
1,1,1,49.248,0.024,49.248,0.024,49.224,33.8329,Discharge,15.3911,15.3911,48.3415,49.83,770.206,736.3731,optimal
2,1,2,45.32,0.0,45.32,0.0,45.32,29.6957,Discharge,15.6243,15.6243,48.3743,48.2,727.468,697.7723,optimal
3,1,3,41.396,0.0,41.396,0.0,41.396,24.4894,Discharge,16.9066,16.9066,46.9995,46.76,628.38,603.8906,optimal
4,1,4,43.692,0.012,43.692,0.012,43.68,25.7526,Discharge,17.9274,17.9274,45.4976,45.57,587.572,561.8194,optimal
5,1,5,35.162,0.012,35.162,0.012,35.15,16.5048,Discharge,18.6452,18.6452,44.7609,44.34,548.196,531.6912,optimal
6,1,6,36.362,0.002,36.362,0.002,36.36,16.6915,Discharge,19.6685,19.6685,43.5218,43.51,546.016,529.3245,optimal
7,1,7,35.708,0.0,35.708,0.0,35.708,15.3795,Discharge,20.3285,20.3285,42.7561,42.68,536.282,520.9025,optimal
8,1,8,37.79,0.0,37.79,0.0,37.79,16.7906,Discharge,20.9994,20.9994,41.8569,41.94,531.506,514.7154,optimal
9,1,9,36.592,0.0,36.592,0.0,36.592,15.0385,Discharge,21.5535,21.5535,41.2028,41.11,529.184,514.1455,optimal
10,1,10,36.644,0.012,36.644,0.012,36.632,14.3692,Discharge,22.2628,22.2628,40.4056,40.38,525.534,511.1648,optimal
11,1,11,42.512,0.0,42.512,0.0,42.512,19.6812,Discharge,22.8308,22.8308,39.4152,39.67,564.806,545.1248,optimal
12,1,12,46.514,0.012,46.514,0.012,46.502,23.2491,Discharge,23.2529,23.2529,38.5303,38.67,582.732,559.4829,optimal
13,1,13,45.304,0.324,45.304,0.324,44.98,21.0329,Discharge,23.9471,23.9471,37.639,37.56,580.33,559.2971,optimal
14,1,14,47.144,3.512,47.144,3.512,43.632,18.7475,Discharge,24.8845,24.8845,36.641,36.54,588.626,569.8785,optimal
15,1,15,48.242,9.32,48.242,9.32,38.922,26.1547,Discharge,12.7673,12.7673,35.2579,35.57,538.794,512.6393,optimal
16,1,16,47.072,17.264,47.072,17.264,29.808,16.5962,Discharge,13.2118,13.2118,34.7565,34.34,398.868,382.2718,optimal
17,1,17,49.756,26.836,49.756,26.836,22.92,9.1436,Discharge,13.7764,13.7764,33.8918,33.55,309.164,300.0204,optimal
18,1,18,56.742,35.87,56.742,35.87,20.872,6.6332,Discharge,14.2388,14.2388,33.2248,33.11,224.496,217.8628,optimal
19,1,19,52.412,46.048,52.412,46.048,6.364,-8.1036,Charge,14.4676,14.4676,33.5072,32.84,21.464,29.5676,optimal
20,1,20,53.512,59.616,53.512,59.616,-6.104,-20.8173,Charge,14.7133,14.7133,33.8605,33.3,-146.786,-125.9687,optimal
21,1,21,54.998,70.178,54.998,70.178,-15.18,-30.1035,Charge,14.9235,14.9235,34.7757,34.37,-260.024,-229.9205,optimal
22,1,22,60.802,85.684,60.802,85.684,-24.882,-40.1492,Charge,15.2672,15.2672,36.3381,35.89,-414.324,-374.1748,optimal
23,1,23,57.856,94.466,57.856,94.466,-36.61,-52.3709,Charge,15.7609,15.7609,38.4572,37.91,-554.01,-501.6391,optimal
24,1,24,60.714,100.496,60.714,100.496,-39.782,-56.2216,Charge,16.4396,16.4396,40.666,40.48,-555.218,-498.9964,optimal
25,1,25,65.298,110.726,65.298,110.726,-45.428,-62.2545,Charge,16.8265,16.8265,43.5317,43.26,-576.48,-514.2255,optimal
26,1,26,68.302,114.912,68.302,114.912,-46.61,-64.0325,Charge,17.4225,17.4225,46.3988,46.31,-599.418,-535.3855,optimal
27,1,27,66.218,115.398,66.218,115.398,-49.18,-67.3279,Charge,18.1479,18.1479,49.6104,49.46,-636.43,-569.1021,optimal
28,1,28,71.34,120.906,71.34,120.906,-49.566,-68.4944,Charge,18.9284,18.9284,52.8176,52.75,-672.31,-603.8156,optimal
29,1,29,73.608,121.092,73.608,121.092,-47.484,-51.2468,Charge,3.7628,3.7628,55.2621,56.0,-570.814,-519.5672,optimal
