step,day,date_label,profile_time,eta_per_kwh,p_load_forecast_total_kw,p_pv_forecast_total_kw,p_load_actual_total_kw,p_pv_actual_total_kw,baseline_grid_actual_kw,pbat_aggregate_kw,battery_action,grid_forecast_qp_kw,grid_actual_calculated_kw,soc_predicted_pct,soc646_measured_pct,qp_status,qp_objective_day,pbat_646_B_kw,pbat_645_B_kw,pbat_611_C_kw,pbat_652_A_kw,pbat_671_A_kw,pbat_671_B_kw,pbat_671_C_kw,pbat_692_C_kw,pbat_692_B_kw,pbat_692_A_kw,pbat_675_C_kw,pbat_675_B_kw,pbat_675_A_kw,pbat_634_C_kw,pbat_634_B_kw,pbat_634_A_kw
1,1,7-Jan-13,0:30,0.03,770.334,0.128,770.334,0.128,770.206,-98.9768,Charge,869.182799,869.1828,0.68093,0.03,optimal,-324.645076,-7.590702,-4.688375,-5.060468,-3.423258,-11.832565,-11.53489,-11.832565,-4.911631,-0.0,-0.0,-8.855819,-2.679071,-14.213962,-3.86977,-3.348839,-5.134887
2,1,7-Jan-13,1:00,0.03,727.572,0.104,727.572,0.104,727.468,-141.714901,Charge,869.1829,869.182901,1.213693,0.44,optimal,-324.645076,-10.868361,-6.712811,-7.245574,-4.901418,-16.941857,-16.515646,-16.941857,-7.032469,-0.0,-0.0,-12.679754,-3.835892,-20.351538,-5.540733,-4.794865,-7.352126
3,1,7-Jan-13,1:30,0.03,628.524,0.144,628.524,0.144,628.38,-240.803089,Charge,869.183088,869.183089,2.118967,1.01,optimal,-324.645076,-18.467605,-11.406462,-12.311737,-8.328528,-28.787738,-28.063518,-28.787738,-11.949627,-0.0,-0.0,-21.54554,-6.517978,-34.581496,-9.414858,-8.147473,-12.492792
4,1,7-Jan-13,2:00,0.03,587.784,0.212,587.784,0.212,587.572,-281.611361,Charge,869.18336,869.183361,3.177657,1.92,optimal,-324.645076,-21.597262,-13.339486,-14.398175,-9.739942,-33.666321,-32.819369,-33.666321,-13.974699,-0.0,-0.0,-25.196806,-7.622563,-40.441932,-11.010369,-9.528204,-14.609913
5,1,7-Jan-13,2:30,0.03,548.304,0.108,548.304,0.108,548.196,-320.987717,Charge,869.183716,869.183717,4.384377,3.01,optimal,-324.645076,-24.617103,-15.204681,-16.411402,-11.101831,-38.373719,-37.408343,-38.373719,-15.928714,-0.0,-0.0,-28.719954,-8.688389,-46.096732,-12.549896,-10.860487,-16.652746
6,1,7-Jan-13,3:00,0.03,546.074,0.058,546.074,0.058,546.016,-323.168152,Charge,869.184152,869.184152,5.599295,4.24,optimal,-324.645076,-24.784324,-15.307965,-16.522883,-11.177244,-38.634388,-37.662454,-38.634388,-16.036916,-0.0,-0.0,-28.915045,-8.747409,-46.409862,-12.635146,-10.934261,-16.765867
7,1,7-Jan-13,3:30,0.03,536.482,0.2,536.482,0.2,536.282,-332.902665,Charge,869.184664,869.184665,6.850809,5.47,optimal,-324.645076,-25.530881,-15.769074,-17.020587,-11.513927,-39.798138,-38.796927,-39.798138,-16.519982,-0.0,-0.0,-29.786028,-9.010899,-47.807826,-13.015743,-11.263624,-17.27089
8,1,7-Jan-13,4:00,0.03,531.554,0.048,531.554,0.048,531.506,-337.679251,Charge,869.18525,869.185251,8.12028,6.74,optimal,-324.645076,-25.897206,-15.995333,-17.264804,-11.679132,-40.369174,-39.353597,-40.369174,-16.757015,-0.0,-0.0,-30.213407,-9.14019,-48.493787,-13.202497,-11.425238,-17.518698
9,1,7-Jan-13,4:30,0.03,529.484,0.3,529.484,0.3,529.184,-340.001906,Charge,869.185905,869.185906,9.398483,8.01,optimal,-324.645076,-26.075334,-16.105353,-17.383556,-11.759464,-40.646844,-39.624282,-40.646844,-16.872275,-0.0,-0.0,-30.421223,-9.203059,-48.827341,-13.293308,-11.503824,-17.639197
10,1,7-Jan-13,5:00,0.03,525.65,0.116,525.65,0.116,525.534,-343.652624,Charge,869.186624,869.186624,10.69041,9.29,optimal,-324.645076,-26.355314,-16.278282,-17.570209,-11.88573,-41.083284,-40.049742,-41.083284,-17.053438,-0.0,-0.0,-30.747866,-9.301876,-49.351617,-13.436042,-11.627344,-17.828595
