step,day,date_label,profile_time,eta_per_kwh,p_load_forecast_total_kw,p_pv_forecast_total_kw,p_load_actual_total_kw,p_pv_actual_total_kw,baseline_grid_actual_kw,pbat_aggregate_kw,battery_action,grid_forecast_qp_kw,grid_actual_calculated_kw,soc_predicted_pct,soc646_measured_pct,qp_status,qp_objective_day,pbat_646_B_kw,pbat_645_B_kw,pbat_611_C_kw,pbat_652_A_kw,pbat_671_A_kw,pbat_671_B_kw,pbat_671_C_kw,pbat_692_C_kw,pbat_692_B_kw,pbat_692_A_kw,pbat_675_C_kw,pbat_675_B_kw,pbat_675_A_kw,pbat_634_C_kw,pbat_634_B_kw,pbat_634_A_kw
1,1,7-Jan-13,0:30,0.03,770.334,0.128,770.334,0.128,770.206,-768.867542,Charge,1539.073543,1539.073542,52.890479,50.28,optimal,-2041.136296,-58.965781,-36.420041,-39.310521,-26.592411,-91.917248,-89.604864,-91.917248,-38.154329,-0.0,-0.0,-68.793412,-20.811452,-110.416316,-30.060987,-26.014315,-39.888617
2,1,7-Jan-13,1:00,0.03,727.572,0.104,727.572,0.104,727.468,-811.60493,Charge,1539.072931,1539.07293,55.941626,53.19,optimal,-2041.136296,-62.243386,-38.444444,-41.49559,-28.070546,-97.026454,-94.585537,-97.026454,-40.275132,-0.0,-0.0,-72.617283,-21.968254,-116.553791,-31.731922,-27.460317,-42.10582
3,1,7-Jan-13,1:30,0.03,628.524,0.144,628.524,0.144,628.38,-910.691733,Charge,1539.071733,1539.071733,59.365279,56.27,optimal,-2041.136296,-69.842524,-43.138029,-46.561683,-31.497609,-108.87217,-106.133247,-108.87217,-45.192221,-0.0,-0.0,-81.482945,-24.650303,-130.78355,-35.605993,-30.812878,-47.246413
4,1,7-Jan-13,2:00,0.03,587.784,0.212,587.784,0.212,587.572,-951.498002,Charge,1539.070002,1539.070002,62.942339,59.72,optimal,-2041.136296,-72.972027,-45.070958,-48.648018,-32.908953,-113.750513,-110.888865,-113.750513,-47.217194,-0.0,-0.0,-85.134032,-25.754833,-136.643698,-37.201426,-32.193541,-49.36343
5,1,7-Jan-13,2:30,0.03,548.304,0.108,548.304,0.108,548.196,-990.871812,Charge,1539.067813,1539.067812,66.667421,63.31,optimal,-2041.136296,-75.991673,-46.936033,-50.661115,-34.270754,-118.457608,-115.477542,-118.457608,-49.171082,-0.0,-0.0,-88.656952,-26.82059,-142.298132,-38.740853,-33.525738,-51.406132
6,1,7-Jan-13,3:00,0.03,546.074,0.058,546.074,0.058,546.016,-993.04926,Charge,1539.065261,1539.06526,70.400689,67.03,optimal,-2041.136296,-76.158665,-47.039175,-50.772443,-34.346065,-118.717919,-115.731305,-118.717919,-49.279136,-0.0,-0.0,-88.851776,-26.879529,-142.610834,-38.825986,-33.599411,-51.519097
7,1,7-Jan-13,3:30,0.03,536.482,0.2,536.482,0.2,536.282,-1002.780458,Charge,1539.062458,1539.062458,74.17054,70.77,optimal,-2041.136296,-76.904967,-47.500127,-51.269978,-34.682632,-119.881273,-116.865392,-119.881273,-49.762038,-0.0,-0.0,-89.722462,-27.14293,-144.008321,-39.206454,-33.928662,-52.023949
8,1,7-Jan-13,4:00,0.03,531.554,0.048,531.554,0.048,531.506,-1007.553529,Charge,1539.05953,1539.059529,77.958336,74.54,optimal,-2041.136296,-77.271023,-47.72622,-51.514015,-34.847716,-120.451888,-117.421652,-120.451888,-49.998897,-0.0,-0.0,-90.149526,-27.272126,-144.693778,-39.39307,-34.090157,-52.271574
9,1,7-Jan-13,4:30,0.03,529.484,0.3,529.484,0.3,529.184,-1009.872602,Charge,1539.056602,1539.056602,81.754849,78.31,optimal,-2041.136296,-77.448876,-47.836071,-51.632584,-34.927925,-120.729131,-117.69192,-120.729131,-50.113979,-0.0,-0.0,-90.357022,-27.334898,-145.026817,-39.483741,-34.168622,-52.391887
10,1,7-Jan-13,5:00,0.03,525.65,0.116,525.65,0.116,525.534,-1013.519802,Charge,1539.053802,1539.053802,85.565074,82.09,optimal,-2041.136296,-77.728586,-48.008833,-51.819058,-35.054068,-121.165149,-118.116969,-121.165149,-50.294968,-0.0,-0.0,-90.683351,-27.433619,-145.550588,-39.626338,-34.292023,-52.581102
11,1,7-Jan-13,5:30,0.03,564.876,0.07,564.876,0.07,564.806,-974.245241,Charge,1539.051241,1539.051241,89.22765,85.9,optimal,-2041.136296,-74.716552,-46.148459,-49.811035,-33.6957,-116.46992,-113.539859,-116.46992,-48.346004,-0.0,-0.0,-87.169311,-26.370548,-139.910407,-38.090791,-32.963185,-50.54355
12,1,7-Jan-13,6:00,0.03,582.84,0.108,582.84,0.108,582.732,-956.317012,Charge,1539.049012,1539.049012,92.822827,89.57,optimal,-2041.136296,-73.341605,-45.299227,-48.894404,-33.075626,-114.32662,-111.450479,-114.32662,-47.456333,-0.0,-0.0,-85.565206,-25.885273,-137.335751,-37.389838,-32.356591,-49.613439
13,1,7-Jan-13,6:30,0.03,585.75,5.42,585.75,5.42,580.33,-958.717171,Charge,1539.047172,1539.047171,96.427027,93.15,optimal,-2041.136296,-73.525678,-45.412919,-49.017119,-33.158639,-114.613557,-111.730197,-114.613557,-47.575439,-0.0,-0.0,-85.779957,-25.950239,-137.680436,-37.483679,-32.437799,-49.737958
14,1,7-Jan-13,7:00,0.03,638.194,49.568,638.194,49.568,588.626,-950.41973,Charge,1539.045731,1539.04573,100.000033,96.78,optimal,-2041.136296,-72.889333,-45.019882,-48.592888,-32.87166,-113.621607,-110.763202,-113.621607,-47.163686,-0.0,-0.0,-85.037555,-25.725647,-136.488848,-37.159268,-32.157059,-49.30749
15,1,7-Jan-13,7:30,0.06,665.806,127.012,665.806,127.012,538.794,747.513496,Discharge,-208.719497,-208.719496,97.189832,99.72,optimal,-2041.136296,57.328103,35.408534,38.218735,25.85385,89.364395,87.116234,89.364395,37.094655,0.0,0.0,66.882786,20.233448,107.349682,29.226092,25.29181,38.780775
16,1,7-Jan-13,8:00,0.06,636.794,237.926,636.794,237.926,398.868,607.587792,Discharge,-208.719793,-208.719792,94.905667,96.97,optimal,-2041.136296,46.596958,28.780474,31.064639,21.014315,72.636435,70.809104,72.636435,30.150973,0.0,0.0,54.363118,16.445985,87.255089,23.755312,20.557482,31.521472
17,1,7-Jan-13,8:30,0.06,676.108,366.944,676.108,366.944,309.164,517.883472,Discharge,-208.719473,-208.719472,92.958737,94.7,optimal,-2041.136296,39.717379,24.531322,26.478253,17.911759,61.912385,60.354841,61.912385,25.699481,0.0,0.0,46.336942,14.017899,74.372739,20.248076,17.522373,26.867639
18,1,7-Jan-13,9:00,0.06,729.828,505.332,729.828,505.332,224.496,433.2147,Discharge,-208.7187,-208.7187,91.33011,92.77,optimal,-2041.136296,33.223985,20.520696,22.149323,14.983366,51.790329,50.487427,51.790329,21.497872,0.0,0.0,38.761315,11.726112,62.21354,16.937718,14.65764,22.475048
19,1,7-Jan-13,9:30,0.06,680.404,658.94,680.404,658.94,21.464,230.181669,Discharge,-208.717668,-208.717669,90.464766,91.23,optimal,-2041.136296,17.65303,10.903342,11.768687,7.961171,27.517959,26.825683,27.517959,11.422549,0.0,0.0,20.595202,6.230481,33.056164,8.999584,7.788102,11.941756
20,1,7-Jan-13,10:00,0.06,682.818,829.604,682.818,829.604,-146.786,61.930614,Discharge,-208.716613,-208.716614,90.231944,90.41,optimal,-2041.136296,4.749566,2.933555,3.166377,2.141961,7.403735,7.217478,7.403735,3.073249,0.0,0.0,5.54116,1.676317,8.893795,2.421347,2.095397,3.212942
21,1,7-Jan-13,10:30,0.06,710.68,970.704,710.68,970.704,-260.024,-51.308185,Charge,-208.715813,-208.715815,90.424832,90.21,optimal,-2041.136296,-3.934913,-2.430388,-2.623276,-1.774569,-6.133836,-5.979525,-6.133836,-2.54612,-0.0,-0.0,-4.590732,-1.388793,-7.368318,-2.006034,-1.735991,-2.661853
22,1,7-Jan-13,11:00,0.06,757.052,1171.376,757.052,1171.376,-414.324,-205.608403,Charge,-208.715593,-208.715597,91.197796,90.47,optimal,-2041.136296,-15.768464,-9.739345,-10.512309,-7.111268,-24.580253,-23.961882,-24.580253,-10.203124,-0.0,-0.0,-18.396541,-5.56534,-29.527222,-8.038825,-6.956675,-10.666902
23,1,7-Jan-13,11:30,0.06,721.462,1275.472,721.462,1275.472,-554.01,-345.29367,Charge,-208.716325,-208.71633,92.495892,91.3,optimal,-2041.136296,-26.481169,-16.356016,-17.654112,-11.942488,-41.279469,-40.240992,-41.279469,-17.134874,-0.0,-0.0,-30.894697,-9.346295,-49.587286,-13.500204,-11.682869,-17.913732
24,1,7-Jan-13,12:00,0.06,763.036,1318.254,763.036,1318.254,-555.218,-346.499571,Charge,-208.718424,-208.718429,93.798522,92.58,optimal,-2041.136296,-26.573651,-16.413138,-17.715768,-11.984196,-41.423633,-40.381529,-41.423633,-17.194716,-0.0,-0.0,-31.002593,-9.378936,-49.760465,-13.547352,-11.72367,-17.976294
25,1,7-Jan-13,12:30,0.06,817.948,1394.428,817.948,1394.428,-576.48,-367.757657,Charge,-208.722337,-208.722343,95.18107,93.91,optimal,-2041.136296,-28.203971,-17.4201,-18.802647,-12.719438,-43.965013,-42.858975,-43.965013,-18.249628,-0.0,-0.0,-32.904632,-9.954343,-52.813318,-14.378495,-12.442928,-19.079157
26,1,7-Jan-13,13:00,0.06,850.872,1450.29,850.872,1450.29,-599.418,-390.689458,Charge,-208.728536,-208.728542,96.649827,95.29,optimal,-2041.136296,-29.96265,-18.506343,-19.9751,-13.512568,-46.706484,-45.531478,-46.706484,-19.387597,-0.0,-0.0,-34.956425,-10.575053,-56.106531,-15.275077,-13.218816,-20.268852
