step,day,date_label,profile_time,eta_per_kwh,p_load_forecast_total_kw,p_pv_forecast_total_kw,p_load_actual_total_kw,p_pv_actual_total_kw,baseline_grid_actual_kw,pbat_aggregate_kw,battery_action,grid_forecast_qp_kw,grid_actual_calculated_kw,soc_predicted_pct,soc646_measured_pct,qp_status,qp_objective_day,pbat_646_B_kw,pbat_645_B_kw,pbat_611_C_kw,pbat_652_A_kw,pbat_671_A_kw,pbat_671_B_kw,pbat_671_C_kw,pbat_692_C_kw,pbat_692_B_kw,pbat_692_A_kw,pbat_675_C_kw,pbat_675_B_kw,pbat_675_A_kw,pbat_634_C_kw,pbat_634_B_kw,pbat_634_A_kw
1,1,7-Jan-13,0:30,0.03,770.334,0.128,770.334,0.128,770.206,-732.835242,Charge,1503.041241,1503.041242,52.75502,50.27,optimal,-3123.521251,-56.202402,-34.713248,-37.468268,-25.346181,-87.609627,-85.405611,-87.609627,-36.36626,-0.0,-0.0,-65.569469,-19.836142,-105.241753,-28.652205,-24.795177,-38.019272
2,1,7-Jan-13,1:00,0.03,727.572,0.104,727.572,0.104,727.468,-777.502524,Charge,1504.970523,1504.970524,55.677962,53.03,optimal,-3123.521251,-59.628013,-36.829067,-39.752009,-26.891065,-92.94955,-90.611196,-92.94955,-38.582832,-0.0,-0.0,-69.566015,-21.045181,-111.656378,-30.398595,-26.306476,-40.336597
3,1,7-Jan-13,1:30,0.03,628.524,0.144,628.524,0.144,628.38,-880.342731,Charge,1508.72273,1508.722731,58.987521,56.01,optimal,-3123.521251,-67.515006,-41.700445,-45.010004,-30.447944,-105.243981,-102.596333,-105.243981,-43.686181,-0.0,-0.0,-78.767508,-23.828826,-126.425159,-34.419415,-29.786032,-45.671916
4,1,7-Jan-13,2:00,0.03,587.784,0.212,587.784,0.212,587.572,-926.524037,Charge,1514.096037,1514.096037,62.470694,59.36,optimal,-3123.521251,-71.056731,-43.887981,-47.371154,-32.045192,-110.764904,-107.978365,-110.764904,-45.977885,-0.0,-0.0,-82.899519,-25.078846,-133.057211,-36.225,-31.348558,-48.067788
5,1,7-Jan-13,2:30,0.03,548.304,0.108,548.304,0.108,548.196,-972.58494,Charge,1520.78094,1520.78094,66.127028,62.86,optimal,-3123.521251,-74.589221,-46.069813,-49.726147,-33.638276,-116.271433,-113.346365,-116.271433,-48.263614,-0.0,-0.0,-87.020758,-26.325607,-139.671973,-38.025877,-32.907009,-50.457414
6,1,7-Jan-13,3:00,0.03,546.074,0.058,546.074,0.058,546.016,-982.374646,Charge,1528.390645,1528.390646,69.820166,66.54,optimal,-3123.521251,-75.34001,-46.533536,-50.226674,-33.976867,-117.441781,-114.487271,-117.441781,-48.749419,-0.0,-0.0,-87.896679,-26.590592,-141.077863,-38.408633,-33.23824,-50.965301
7,1,7-Jan-13,3:30,0.03,536.482,0.2,536.482,0.2,536.282,-1000.191108,Charge,1536.473108,1536.473108,73.580283,70.23,optimal,-3123.521251,-76.706386,-47.377474,-51.13759,-34.593076,-119.571719,-116.563625,-119.571719,-49.633544,-0.0,-0.0,-89.490783,-27.072842,-143.636467,-39.105216,-33.841053,-51.889614
8,1,7-Jan-13,4:00,0.03,531.554,0.048,531.554,0.048,531.506,-1013.042616,Charge,1544.548616,1544.548616,77.388714,74.01,optimal,-3123.521251,-77.69199,-47.986229,-51.79466,-35.037564,-121.108102,-118.061357,-121.108102,-50.271288,-0.0,-0.0,-90.640655,-27.420702,-145.48206,-39.607681,-34.275878,-52.556346
9,1,7-Jan-13,4:30,0.03,529.484,0.3,529.484,0.3,529.184,-1022.955796,Charge,1552.139796,1552.139796,81.234412,77.83,optimal,-3123.521251,-78.452249,-48.455801,-52.301499,-35.380426,-122.293212,-119.216653,-122.293212,-50.76322,-0.0,-0.0,-91.527624,-27.689029,-146.905682,-39.995264,-34.611286,-53.070639
10,1,7-Jan-13,5:00,0.03,525.65,0.116,525.65,0.116,525.534,-1033.225398,Charge,1558.759399,1558.759398,85.118718,81.66,optimal,-3123.521251,-79.239843,-48.942256,-52.826562,-35.735615,-123.520931,-120.413486,-123.520931,-51.272839,-0.0,-0.0,-92.446483,-27.967003,-148.38049,-40.396782,-34.958754,-53.603423
11,1,7-Jan-13,5:30,0.03,564.876,0.07,564.876,0.07,564.806,-999.229595,Charge,1564.035595,1564.035595,88.87522,85.52,optimal,-3123.521251,-76.632646,-47.331928,-51.08843,-34.559821,-119.456771,-116.451569,-119.456771,-49.58583,-0.0,-0.0,-89.404753,-27.046816,-143.498385,-39.067623,-33.80852,-51.839731
12,1,7-Jan-13,6:00,0.03,582.84,0.108,582.84,0.108,582.732,-985.225131,Charge,1567.957132,1567.957131,92.579074,89.29,optimal,-3123.521251,-75.558619,-46.668559,-50.372413,-34.075456,-117.782553,-114.81947,-117.782553,-48.890871,-0.0,-0.0,-88.151722,-26.667748,-141.487218,-38.52008,-33.334685,-51.113184
13,1,7-Jan-13,6:30,0.03,585.75,5.42,585.75,5.42,580.33,-990.269609,Charge,1570.59961,1570.599609,96.301892,93.02,optimal,-3123.521251,-75.945489,-46.907508,-50.630326,-34.249926,-118.385615,-115.40736,-118.385615,-49.141199,-0.0,-0.0,-88.60307,-26.80429,-142.211651,-38.717308,-33.505363,-51.37489
14,1,7-Jan-13,7:00,0.03,638.194,49.568,638.194,49.568,588.626,-983.700727,Charge,1572.326728,1572.326727,100.000015,96.74,optimal,-3123.521251,-75.44171,-46.59635,-50.294473,-34.022732,-117.600312,-114.641814,-117.600312,-48.815224,-0.0,-0.0,-88.015328,-26.626486,-141.2683,-38.46048,-33.283107,-51.034098
15,1,7-Jan-13,7:30,0.06,665.806,127.012,665.806,127.012,538.794,754.564781,Discharge,-215.770782,-215.770781,97.163306,99.71,optimal,-3123.521251,57.868878,35.742542,38.579252,26.097729,90.207369,87.938001,90.207369,37.444568,0.0,0.0,67.513691,20.42431,108.362311,29.501781,25.530387,39.146594
