step,day,k,p_load_fc_646_kw,p_pv_fc_646_kw,p_load_646_kw,p_pv_646_kw,baseline_grid_646_kw,battery_646_kw,battery_action,grid_646_kw,grid_646_forecast_kw,soc_predicted_pct,soc_measured_pct,feeder_baseline_grid_kw,feeder_grid_with_cil_kw,mpc_status
39,1,39,88.364,4.61,88.364,4.61,83.754,75.6945,Discharge,8.0595,8.0595,82.2195,82.03,1274.304,1198.6095,optimal
40,1,40,85.14,0.808,85.14,0.808,84.332,76.2571,Discharge,8.0749,8.0749,78.2919,78.3,1284.292,1208.0349,optimal
41,1,41,95.846,0.012,95.846,0.012,95.834,54.4628,Discharge,41.3712,41.3712,75.6303,74.68,1239.842,1185.3792,optimal
42,1,42,106.914,0.024,106.914,0.024,106.89,65.1232,Discharge,41.7668,41.7668,71.4877,71.98,1251.722,1186.5988,optimal
43,1,43,100.72,0.024,100.72,0.024,100.696,59.1385,Discharge,41.5575,41.5575,69.0811,68.83,1204.924,1145.7855,optimal
44,1,44,111.68,0.0,111.68,0.0,111.68,70.0135,Discharge,41.6665,41.6665,65.398,65.88,1250.378,1180.3645,optimal
45,1,45,104.822,0.002,104.822,0.002,104.82,21.6645,Discharge,83.1555,83.1555,64.818,62.68,1158.552,1136.8875,optimal
46,1,46,82.278,0.05,82.278,0.05,82.228,-2.91,Charge,85.138,85.138,62.8226,61.73,1020.98,1023.89,optimal
47,1,47,69.702,0.012,69.702,0.012,69.69,-16.5094,Charge,86.1994,86.1994,62.5393,61.94,883.94,900.4494,optimal
48,1,48,58.92,0.012,58.92,0.012,58.908,-27.9027,Charge,86.8107,86.8107,63.3078,62.83,787.042,814.9447,optimal
49,2,1,52.356,0.024,52.356,0.024,52.332,-34.9917,Charge,87.3237,87.3237,64.5453,64.24,757.41,792.4017,optimal
50,2,2,48.228,0.0,48.228,0.0,48.228,-39.4417,Charge,87.6697,87.6697,66.1734,65.98,684.528,723.9697,optimal
51,2,3,40.82,0.012,40.82,0.012,40.808,-47.0938,Charge,87.9018,87.9018,68.2885,67.93,600.958,648.0518,optimal
