Time,Node 680.V1_rms,Node 680.V2_rms,Node 680.V3_rms,Node 684.V1_rms,Node 684.V3_rms,Node 692.V1_rms,Node 692.V2_rms,Node 692.V3_rms,UpperBound,LowerBound
0.0,2166.8916015625,2360.83740234375,2343.6796875,2162.820068359375,2340.22265625,2166.8916015625,2360.83740234375,2343.6796875,2522.0,2282.0
0.25,2167.5107421875,2360.900390625,2343.753173828125,2163.427734375,2340.30712890625,2167.5107421875,2360.900390625,2343.753173828125,2522.0,2282.0
0.5,2167.5615234375,2360.9169921875,2343.744384765625,2163.47802734375,2340.2998046875,2167.5615234375,2360.9169921875,2343.744384765625,2522.0,2282.0
0.75,2167.582275390625,2360.924072265625,2343.741455078125,2164.66748046875,2340.297607421875,2167.582275390625,2360.924072265625,2343.741455078125,2522.0,2282.0
1.0,2168.76220703125,2360.926025390625,2343.739990234375,2163.506591796875,2340.29638671875,2168.76220703125,2360.926025390625,2343.739990234375,2522.0,2282.0
1.25,2167.59423828125,2360.927001953125,2343.739501953125,2163.509765625,2340.296142578125,2167.59423828125,2360.927001953125,2343.739501953125,2522.0,2282.0
1.5,2167.59521484375,2362.20263671875,2343.739501953125,2163.5107421875,2340.296142578125,2167.59521484375,2362.20263671875,2343.739501953125,2522.0,2282.0
1.75,2167.595703125,2360.927734375,2345.006103515625,2163.511474609375,2340.296142578125,2167.595703125,2360.927734375,2345.006103515625,2522.0,2282.0
2.0,2167.59619140625,2360.927001953125,2343.73974609375,2163.511962890625,2340.29638671875,2167.59619140625,2360.927001953125,2343.73974609375,2522.0,2282.0
2.25,2167.596435546875,2360.927734375,2343.73974609375,2163.511962890625,2340.29638671875,2167.596435546875,2360.927734375,2343.73974609375,2522.0,2282.0
2.5,2167.596435546875,2360.92724609375,2343.739501953125,2163.51220703125,2340.296142578125,2167.596435546875,2360.92724609375,2343.739501953125,2522.0,2282.0
2.75,2167.59619140625,2360.927734375,2343.7392578125,2163.51171875,2340.2958984375,2167.59619140625,2360.927734375,2343.7392578125,2522.0,2282.0
3.0,2167.59619140625,2360.92724609375,2343.739501953125,2163.511962890625,2340.296142578125,2167.59619140625,2360.92724609375,2343.739501953125,2522.0,2282.0
3.25,2168.76806640625,2360.92724609375,2343.739501953125,2163.51220703125,2340.2958984375,2168.76806640625,2360.92724609375,2343.739501953125,2522.0,2282.0
3.5,2167.59619140625,2362.203125,2343.739501953125,2163.51171875,2341.560791015625,2167.59619140625,2362.203125,2343.739501953125,2522.0,2282.0
3.75,2167.5966796875,2360.92724609375,2345.00634765625,2163.51220703125,2340.29638671875,2167.5966796875,2360.92724609375,2345.00634765625,2522.0,2282.0
4.0,2167.5966796875,2360.92724609375,2343.739501953125,2163.512451171875,2340.2958984375,2167.5966796875,2360.92724609375,2343.739501953125,2522.0,2282.0
4.25,2167.59619140625,2360.927734375,2343.739501953125,2163.511962890625,2340.296142578125,2167.59619140625,2360.927734375,2343.739501953125,2522.0,2282.0
4.5,2167.596923828125,2360.9267578125,2343.739501953125,2163.512451171875,2340.296142578125,2167.596923828125,2360.9267578125,2343.739501953125,2522.0,2282.0
4.75,2167.595947265625,2360.927490234375,2343.7392578125,2163.51171875,2340.2958984375,2167.595947265625,2360.927490234375,2343.7392578125,2522.0,2282.0
5.0,2167.596435546875,2360.927490234375,2343.739501953125,2163.511962890625,2340.2958984375,2167.596435546875,2360.927490234375,2343.739501953125,2522.0,2282.0
5.25,2167.59619140625,2360.927734375,2343.739501953125,2163.511962890625,2340.296142578125,2167.59619140625,2360.927734375,2343.739501953125,2522.0,2282.0
5.5,2168.767822265625,2360.927001953125,2343.739501953125,2163.51220703125,2340.296142578125,2168.767822265625,2360.927001953125,2343.739501953125,2522.0,2282.0
5.75,2167.5966796875,2360.927001953125,2343.7392578125,2163.512451171875,2340.2958984375,2167.5966796875,2360.927001953125,2343.7392578125,2522.0,2282.0
6.0,2167.59619140625,2362.20361328125,2343.73974609375,2163.511962890625,2340.29638671875,2167.59619140625,2362.20361328125,2343.73974609375,2522.0,2282.0
6.25,2167.596435546875,2360.92724609375,2345.006103515625,2163.511962890625,2340.296142578125,2167.596435546875,2360.92724609375,2345.006103515625,2522.0,2282.0
6.5,2167.596435546875,2360.927490234375,2343.739013671875,2163.511962890625,2340.295654296875,2167.596435546875,2360.927490234375,2343.739013671875,2522.0,2282.0
6.75,2167.59619140625,2360.927734375,2343.7392578125,2163.511962890625,2340.2958984375,2167.59619140625,2360.927734375,2343.7392578125,2522.0,2282.0
7.0,2167.596435546875,2360.927001953125,2343.739501953125,2163.51220703125,2340.296142578125,2167.596435546875,2360.927001953125,2343.739501953125,2522.0,2282.0
