Time,Time Varying Load 611.Single phase time-varying load1.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseA.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseB.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseC.P_measured,Time Varying Load 645.Single phase time-varying load645.P_measured,Time Varying Load 646.Single phase time-varying load646.P_measured,Time Varying Load 652.Single phase time-varying load652.P_measured,Time Varying Load 692.Single phase time-varying loadC.P_measured
0.0,125872.6640625,15198.2265625,15219.7861328125,15287.69921875,131458.0625,228704.109375,115252.734375,207493.078125
0.25,125468.59375,15214.3583984375,15234.0458984375,15234.79296875,131442.796875,228271.375,115482.875,207374.515625
0.5,125414.7421875,15219.2138671875,15227.333984375,15228.28515625,131383.53125,228177.90625,115497.6640625,207274.65625
0.75,125393.9609375,15221.2822265625,15224.7119140625,15225.771484375,131360.3125,228140.84375,115503.8203125,207236.9375
1.0,125385.9296875,15222.0751953125,15223.708984375,15224.8037109375,131356.046875,228130.6875,115506.0625,207222.5625
1.25,125382.859375,15222.3798828125,15223.326171875,15224.4375,131350.1875,228125.84375,115506.9296875,207216.9375
1.5,125381.65625,15222.4931640625,15223.1796875,15224.287109375,131345.34375,228117.03125,115507.3203125,207214.890625
1.75,125381.21875,15222.5361328125,15223.1240234375,15224.23046875,131348.234375,228115.359375,115507.1796875,207213.953125
2.0,125140.8671875,15217.8017578125,15207.423828125,15195.0048828125,131212.9375,227688.578125,115476.515625,206973.125
2.25,125381.0078125,15222.5693359375,15223.0810546875,15224.2041015625,131347.65625,228117.09375,115507.5390625,207213.703125
2.5,125380.984375,15222.5712890625,15223.0791015625,15224.2021484375,131350.015625,228115.1875,115507.5390625,207213.65625
2.75,125380.9609375,15222.5703125,15223.08203125,15224.1962890625,131347.28125,228117.125,115507.4140625,207213.546875
3.0,125380.9609375,15222.5673828125,15223.0869140625,15224.2021484375,131344.34375,228118.8125,115507.53125,207213.53125
3.25,125380.96875,15222.56640625,15223.0859375,15224.2001953125,131346.65625,228124.953125,115507.59375,207213.53125
3.5,125380.9296875,15222.564453125,15223.0869140625,15224.205078125,131350.640625,228114.4375,115507.515625,207213.625
3.75,125380.921875,15222.564453125,15223.087890625,15224.1982421875,131347.78125,228117.9375,115507.4921875,207213.515625
4.0,125380.921875,15222.5634765625,15223.087890625,15224.19921875,131347.84375,228115.390625,115507.640625,207213.5625
4.25,125381.0078125,15222.5712890625,15223.078125,15224.20703125,131344.8125,228114.46875,115507.5078125,207213.59375
4.5,125380.96875,15222.5693359375,15223.0810546875,15224.205078125,131342.0625,228123.046875,115507.5078125,207213.65625
4.75,125380.984375,15222.5654296875,15223.0830078125,15224.205078125,131347.734375,228118.0625,115507.515625,207213.578125
5.0,125381.0,15222.5634765625,15223.083984375,15224.2021484375,131350.453125,228121.546875,115507.6328125,207213.5625
5.25,125380.9375,15222.564453125,15223.0849609375,15224.203125,131347.421875,228116.421875,115507.640625,207213.578125
