Node,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,0:00
646_B,3.7769142857142857,3.4756691729323306,3.1747308270676693,3.3508150375939847,2.6966345864661654,2.7886646616541353,2.7385082706766917,2.8981804511278195,2.8063037593984963,2.8102917293233083,3.260318796992481,3.567239097744361,3.474442105263158,3.6155548872180447,3.6997624060150374,3.6100330827067673,3.8158736842105263,4.351642105263157,4.019566917293233,4.103927819548872,4.217891729323308,4.663010526315789,4.437076691729323,4.6562616541353385,5.0078165413533835,5.238198496240602,5.0783729323308275,5.471187969924812,5.645124812030075,5.621503759398496,6.108803007518796,6.693654135338345,6.8235699248120305,6.995819548872181,7.430048120300752,8.4205984962406,8.508947368421053,7.750006015037594,6.776787969924812,6.529533834586466,7.350595488721805,8.19941954887218,7.724390977443608,8.564932330827068,8.03898045112782,6.310042105263158,5.345566917293233,4.518676691729324
645_B,2.3327999999999998,2.146736842105263,1.9608631578947369,2.069621052631579,1.6655684210526316,1.7224105263157896,1.6914315789473684,1.7900526315789473,1.7333052631578947,1.7357684210526316,2.013726315789474,2.2032947368421056,2.1459789473684214,2.2331368421052633,2.2851473684210526,2.229726315789474,2.356863157894737,2.687778947368421,2.482673684210526,2.5347789473684212,2.6051684210526314,2.8800947368421053,2.7405473684210526,2.875926315789474,3.093063157894737,3.2353578947368424,3.1366421052631583,3.379263157894737,3.4866947368421055,3.4721052631578946,3.773084210526316,4.134315789473685,4.214557894736842,4.320947368421053,4.589147368421053,5.200957894736843,5.255526315789474,4.786768421052632,4.185663157894737,4.032947368421053,4.540073684210527,5.0643473684210525,4.770947368421052,5.290105263157895,4.965252631578948,3.8973789473684213,3.3016736842105265,2.790947368421053
611_C,2.5179428571428573,2.3171127819548873,2.116487218045113,2.2338766917293236,1.7977563909774437,1.8591097744360903,1.8256721804511278,1.9321203007518797,1.8708691729323308,1.873527819548872,2.173545864661654,2.378159398496241,2.3162947368421056,2.4103699248120303,2.466508270676692,2.4066887218045117,2.5439157894736844,2.901094736842105,2.6797112781954886,2.735951879699248,2.811927819548872,3.1086736842105265,2.958051127819549,3.1041744360902257,3.338544360902256,3.492132330827068,3.3855819548872184,3.6474586466165415,3.7634165413533838,3.747669172932331,4.0725353383458645,4.462436090225564,4.549046616541354,4.66387969924812,4.9533654135338345,5.613732330827068,5.672631578947369,5.166670676691729,4.517858646616542,4.353022556390978,4.900396992481204,5.466279699248121,5.149593984962406,5.7099548872180454,5.35932030075188,4.206694736842105,3.563711278195489,3.012451127819549
652_A,1.7033142857142856,1.5674586466165414,1.4317413533834586,1.511151879699248,1.2161293233082706,1.257633082706767,1.2350135338345865,1.3070225563909774,1.265587969924812,1.2673864661654135,1.47033984962406,1.6087548872180453,1.5669052631578948,1.6305443609022556,1.6685203007518796,1.628054135338346,1.7208842105263158,1.9625052631578945,1.812745864661654,1.850790977443609,1.9021864661654133,2.1029263157894738,2.0010345864661656,2.099882706766917,2.258427067669173,2.3623248120300753,2.2902466165413533,2.4673984962406017,2.5458406015037593,2.535187969924812,2.7549503759398495,3.018706766917293,3.0772962406015036,3.1549774436090225,3.3508060150375942,3.7975248120300753,3.8373684210526315,3.4951007518796993,3.0561984962406017,2.944691729323308,3.3149744360902256,3.6977774436090227,3.483548872180451,3.8626165413533835,3.6254225563909777,2.8457052631578947,2.410745864661654,2.0378345864661656
671_A,5.887542857142857,5.417954887218045,4.948845112781955,5.2233293233082705,4.2035774436090225,4.347036090225564,4.2688511278195485,4.517751879699248,4.374532330827067,4.380748872180451,5.082261654135339,5.560696240601504,5.416042105263158,5.636012030075188,5.767276691729323,5.627404511278196,5.948273684210526,6.783442105263157,6.265795488721804,6.397299248120301,6.5749488721804505,7.268810526315789,6.9166195488721804,7.2582902255639095,7.806302255639098,8.165427067669174,7.916287218045113,8.528616541353383,8.799753383458647,8.762932330827068,9.522545864661653,10.434225563909774,10.636741353383458,10.905248120300751,11.582133834586466,13.126227067669173,13.263947368421054,12.080891729323309,10.563816541353384,10.178390977443609,11.45828120300752,12.781448120300752,12.040962406015037,13.351218045112782,12.531351879699248,9.836242105263159,8.332795488721803,7.043819548872181
671_B,5.73942857142857,5.2816541353383455,4.824345864661654,5.091924812030075,4.097827067669172,4.237676691729323,4.161458646616541,4.404097744360902,4.264481203007518,4.270541353383458,4.954406015037594,5.420804511278195,5.27978947368421,5.494225563909774,5.622187969924812,5.485834586466165,5.798631578947368,6.612789473684209,6.108165413533834,6.2363609022556385,6.409541353383458,7.085947368421052,6.742616541353383,7.0756917293233075,7.6099172932330825,7.960007518796993,7.717135338345865,8.31406015037594,8.578375939849623,8.542481203007519,9.282984962406013,10.17172932330827,10.36915037593985,10.630902255639096,11.29075939849624,12.796007518796992,12.930263157894736,11.776969924812029,10.29806015037594,9.922330827067668,11.170022556390977,12.459902255639097,11.738045112781954,13.015338345864661,12.216097744360901,9.58878947368421,8.123165413533833,6.866616541353383
671_C,5.887542857142857,5.417954887218045,4.948845112781955,5.2233293233082705,4.2035774436090225,4.347036090225564,4.2688511278195485,4.517751879699248,4.374532330827067,4.380748872180451,5.082261654135339,5.560696240601504,5.416042105263158,5.636012030075188,5.767276691729323,5.627404511278196,5.948273684210526,6.783442105263157,6.265795488721804,6.397299248120301,6.5749488721804505,7.268810526315789,6.9166195488721804,7.2582902255639095,7.806302255639098,8.165427067669174,7.916287218045113,8.528616541353383,8.799753383458647,8.762932330827068,9.522545864661653,10.434225563909774,10.636741353383458,10.905248120300751,11.582133834586466,13.126227067669173,13.263947368421054,12.080891729323309,10.563816541353384,10.178390977443609,11.45828120300752,12.781448120300752,12.040962406015037,13.351218045112782,12.531351879699248,9.836242105263159,8.332795488721803,7.043819548872181
692_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
692_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
692_C,2.443885714285714,2.2489624060150377,2.054237593984962,2.1681744360902253,1.7448812030075187,1.80443007518797,1.771975939849624,1.8752932330827066,1.8158436090225563,1.8184240601503758,2.1096180451127817,2.3082135338345866,2.2481684210526316,2.339476691729323,2.393963909774436,2.335903759398496,2.4690947368421052,2.8157684210526313,2.6008962406015037,2.655482706766917,2.7292240601503757,3.0172421052631577,2.8710496240601504,3.0128751879699247,3.240351879699248,3.389422556390978,3.2860060150375943,3.5401804511278194,3.6527278195488724,3.637443609022556,3.952754887218045,4.331187969924812,4.415251127819549,4.526706766917293,4.807678195488722,5.448622556390977,5.50578947368421,5.01470977443609,4.384980451127819,4.2249924812030075,4.756267669172932,5.3055067669172935,4.998135338345865,5.542015037593985,5.201693233082707,4.082968421052632,3.4588962406015034,2.9238496240601504
