step,date_label,profile_time,v_632_A_rms_V,v_632_B_rms_V,v_632_C_rms_V,v_633_A_rms_V,v_633_B_rms_V,v_633_C_rms_V,v_634_A_rms_V,v_634_B_rms_V,v_634_C_rms_V,v_645_B_rms_V,v_645_C_rms_V,v_646_B_rms_V,v_646_C_rms_V,v_652_A_rms_V,v_671_A_rms_V,v_671_B_rms_V,v_671_C_rms_V,v_675_A_rms_V,v_675_B_rms_V,v_675_C_rms_V,v_680_A_rms_V,v_680_B_rms_V,v_680_C_rms_V,v_684_A_rms_V,v_684_C_rms_V,v_692_A_rms_V,v_692_B_rms_V,v_692_C_rms_V,v_611_C_rms_V
41,7-Jan-13,20:30,2460.8935546875,2460.8935546875,2460.8935546875,2459.196044921875,2459.8125,2460.058349609375,282.519287109375,282.9552307128906,283.1474914550781,2455.679443359375,2459.076171875,2454.427001953125,2457.842041015625,2289.207275390625,2295.48486328125,2445.6923828125,2407.471435546875,2290.276611328125,2446.77392578125,2405.047119140625,2295.48486328125,2445.6953125,2407.471435546875,2293.8837890625,2405.912841796875,2295.48486328125,2445.6953125,2407.47216796875,2404.2001953125
42,7-Jan-13,21:00,2460.8935546875,2460.8935546875,2460.8935546875,2459.065673828125,2459.6962890625,2460.040283203125,282.56439208984375,282.85699462890625,283.1155700683594,2455.72314453125,2458.816650390625,2454.32666015625,2457.438720703125,2294.0009765625,2299.37646484375,2442.490234375,2409.232177734375,2294.464599609375,2443.25634765625,2406.8935546875,2299.37646484375,2442.490234375,2409.232177734375,2298.012451171875,2407.705322265625,2299.37646484375,2442.48583984375,2409.232177734375,2406.046630859375
43,7-Jan-13,21:30,2462.223388671875,2460.8935546875,2460.8935546875,2460.487060546875,2459.78125,2460.079833984375,282.4902648925781,282.9305419921875,283.15863037109375,2455.88623046875,2458.947265625,2454.571044921875,2457.63818359375,2300.080078125,2305.127197265625,2444.761962890625,2410.39892578125,2300.284423828125,2444.2177734375,2408.21533203125,2305.127197265625,2443.4453125,2410.39892578125,2303.861328125,2408.835693359375,2305.127197265625,2443.4453125,2410.397705078125,2407.14697265625
44,7-Jan-13,22:00,2460.8935546875,2460.8935546875,2460.8935546875,2458.741943359375,2459.97705078125,2460.0654296875,282.19207763671875,283.0467224121094,283.13079833984375,2455.69921875,2458.70654296875,2454.2392578125,2457.268798828125,2288.302001953125,2293.75244140625,2444.73046875,2410.207275390625,2288.41357421875,2445.72705078125,2408.05615234375,2293.75244140625,2444.731201171875,2410.207275390625,2292.36181640625,2408.7705078125,2293.75244140625,2444.731201171875,2410.20361328125,2407.193115234375
45,7-Jan-13,22:30,2460.893310546875,2462.223388671875,2460.8935546875,2458.98876953125,2459.9482421875,2460.09814453125,282.37713623046875,283.19830322265625,283.1719970703125,2457.334716796875,2458.842041015625,2455.964111328125,2457.476806640625,2306.48388671875,2311.204345703125,2443.553955078125,2414.084716796875,2306.5810546875,2444.2158203125,2412.125244140625,2311.2041015625,2443.553955078125,2414.084716796875,2310.008544921875,2412.739501953125,2311.2041015625,2443.553955078125,2414.084716796875,2412.581787109375
46,7-Jan-13,23:00,2460.8935546875,2462.223388671875,2460.8935546875,2459.34375,2460.157958984375,2460.133056640625,282.660888671875,283.2315979003906,283.24072265625,2456.29296875,2459.344970703125,2455.218505859375,2458.275634765625,2323.867431640625,2327.888916015625,2445.793212890625,2418.3720703125,2323.621826171875,2446.414794921875,2416.792236328125,2327.888916015625,2445.793212890625,2418.369384765625,2326.87939453125,2417.1044921875,2327.89013671875,2445.793212890625,2418.369384765625,2415.739990234375
47,7-Jan-13,23:30,2460.8935546875,2460.8935546875,2460.8935546875,2459.664794921875,2460.125,2460.18603515625,282.9028015136719,283.3871154785156,283.3025817871094,2456.68798828125,2459.605224609375,2455.77783203125,2458.698486328125,2348.8232421875,2351.791259765625,2444.856201171875,2424.68359375,2348.346923828125,2445.071533203125,2423.512451171875,2351.791259765625,2444.856201171875,2424.68359375,2349.788330078125,2423.61572265625,2350.52685546875,2444.856201171875,2424.68359375,2422.474365234375
48,8-Jan-13,0:00,2460.8935546875,2460.8935546875,2460.8935546875,2459.798828125,2460.218017578125,2460.23193359375,283.01336669921875,283.3171691894531,283.5074157714844,2457.335205078125,2459.80517578125,2456.56591796875,2459.038818359375,2360.013427734375,2362.8701171875,2446.52001953125,2427.068603515625,2359.830078125,2446.79345703125,2425.89111328125,2362.8701171875,2446.52001953125,2427.0634765625,2362.158935546875,2426.068115234375,2362.872314453125,2446.52001953125,2427.0634765625,2425.002685546875
49,8-Jan-13,0:30,2460.8935546875,2460.8935546875,2460.8935546875,2459.698974609375,2460.301025390625,2460.351806640625,282.95361328125,283.53466796875,283.44342041015625,2457.2783203125,2459.96240234375,2456.594970703125,2459.28759765625,2360.103271484375,2363.32470703125,2449.231689453125,2428.703857421875,2360.25244140625,2449.565673828125,2427.6123046875,2363.322998046875,2447.91015625,2428.705078125,2362.534423828125,2427.87548828125,2363.355224609375,2447.90576171875,2428.7021484375,2426.96435546875
50,8-Jan-13,1:00,2460.8935546875,2462.223388671875,2460.8935546875,2459.76123046875,2461.763427734375,2460.371337890625,283.0115051269531,283.6405944824219,283.4727783203125,2457.7529296875,2460.0205078125,2457.123046875,2459.388671875,2369.76708984375,2372.90234375,2449.3046875,2430.505615234375,2370.072998046875,2449.709716796875,2429.40673828125,2372.87353515625,2449.309814453125,2430.505615234375,2372.070068359375,2429.77001953125,2372.8720703125,2449.307861328125,2430.505859375,2428.9580078125
