step,date_label,profile_time,v_632_A_rms_V,v_632_B_rms_V,v_632_C_rms_V,v_633_A_rms_V,v_633_B_rms_V,v_633_C_rms_V,v_634_A_rms_V,v_634_B_rms_V,v_634_C_rms_V,v_645_B_rms_V,v_645_C_rms_V,v_646_B_rms_V,v_646_C_rms_V,v_652_A_rms_V,v_671_A_rms_V,v_671_B_rms_V,v_671_C_rms_V,v_675_A_rms_V,v_675_B_rms_V,v_675_C_rms_V,v_680_A_rms_V,v_680_B_rms_V,v_680_C_rms_V,v_684_A_rms_V,v_684_C_rms_V,v_692_A_rms_V,v_692_B_rms_V,v_692_C_rms_V,v_611_C_rms_V
1,7-Jan-13,0:30,2460.8935546875,2462.223388671875,2460.8935546875,2459.71630859375,2460.397705078125,2460.288330078125,282.9690856933594,283.4507751464844,283.4039306640625,2457.2109375,2460.03955078125,2456.568115234375,2459.40966796875,2357.640380859375,2360.83203125,2448.470458984375,2427.21240234375,2357.58154296875,2448.933837890625,2426.070068359375,2360.83203125,2448.470458984375,2427.21435546875,2360.023681640625,2426.287109375,2360.83203125,2448.470458984375,2427.21435546875,2425.281005859375
2,7-Jan-13,1:00,2460.8935546875,2460.8935546875,2462.223388671875,2459.8583984375,2460.466552734375,2461.612548828125,283.08001708984375,283.5124206542969,283.4157409667969,2457.6318359375,2461.427001953125,2457.0400390625,2459.485595703125,2363.83154296875,2367.1748046875,2449.009765625,2427.226806640625,2364.079345703125,2449.48828125,2425.9853515625,2367.1748046875,2449.009765625,2427.226806640625,2366.333984375,2426.280517578125,2367.180419921875,2449.009765625,2427.226806640625,2425.251220703125
3,7-Jan-13,1:30,2460.8935546875,2460.8935546875,2460.8935546875,2459.979248046875,2460.562255859375,2460.348388671875,283.1824645996094,283.59814453125,283.4814147949219,2458.1337890625,2460.1494140625,2457.59326171875,2460.947265625,2377.73974609375,2380.476806640625,2450.549072265625,2430.5478515625,2377.77294921875,2451.022705078125,2429.516357421875,2380.476806640625,2450.549072265625,2430.5478515625,2379.791259765625,2429.658447265625,2380.476806640625,2450.549072265625,2430.5478515625,2428.69970703125
4,7-Jan-13,2:00,2460.8935546875,2460.8935546875,2460.893310546875,2460.076171875,2460.530517578125,2460.34326171875,283.2522277832031,283.5808410644531,283.48236083984375,2458.408203125,2460.074951171875,2457.837890625,2459.511474609375,2385.464111328125,2387.770751953125,2449.85888671875,2434.00927734375,2385.39404296875,2450.18017578125,2431.765380859375,2387.770751953125,2449.85888671875,2432.694091796875,2387.19482421875,2431.87646484375,2387.770751953125,2449.85888671875,2432.694091796875,2432.315185546875
5,7-Jan-13,2:30,2460.8935546875,2460.8935546875,2460.8935546875,2460.174072265625,2460.657470703125,2460.322509765625,283.3333435058594,283.6820068359375,283.4835205078125,2458.61474609375,2460.2568359375,2458.15576171875,2459.794677734375,2387.8203125,2390.62646484375,2451.608154296875,2432.90869140625,2388.2880859375,2452.072998046875,2431.88916015625,2390.62451171875,2451.608154296875,2432.90869140625,2389.913818359375,2432.18359375,2390.62451171875,2451.608154296875,2432.90869140625,2431.389892578125
6,7-Jan-13,3:00,2460.8935546875,2460.8935546875,2460.8935546875,2460.1748046875,2460.63330078125,2460.32470703125,283.3323059082031,283.66412353515625,283.4834289550781,2458.663330078125,2460.224853515625,2458.188720703125,2459.76123046875,2388.984130859375,2391.67138671875,2451.26318359375,2433.13525390625,2389.39599609375,2451.692138671875,2432.120361328125,2391.67138671875,2451.26318359375,2433.1337890625,2390.98876953125,2432.40625,2391.67138671875,2451.26318359375,2433.1337890625,2431.612548828125
7,7-Jan-13,3:30,2462.223388671875,2460.8935546875,2460.8935546875,2460.173583984375,2460.664306640625,2460.318603515625,283.4864501953125,283.6869201660156,283.48095703125,2458.67333984375,2460.239501953125,2458.207275390625,2459.7744140625,2389.91015625,2392.619384765625,2451.5478515625,2433.568115234375,2390.37939453125,2451.994384765625,2432.544189453125,2392.619384765625,2451.5478515625,2433.568115234375,2391.9208984375,2432.88720703125,2392.611083984375,2451.5478515625,2433.568115234375,2432.1396484375
8,7-Jan-13,4:00,2460.8935546875,2460.8935546875,2460.8935546875,2460.185791015625,2460.642333984375,2460.306884765625,283.3399353027344,283.6703186035156,283.47137451171875,2458.60498046875,2460.196533203125,2458.1123046875,2459.708740234375,2392.562744140625,2394.755615234375,2451.048095703125,2434.247802734375,2392.588623046875,2451.4296875,2433.332763671875,2394.755615234375,2451.048095703125,2434.2490234375,2394.202880859375,2433.53271484375,2394.755615234375,2451.048095703125,2434.2490234375,2432.76171875
9,7-Jan-13,4:30,2460.8935546875,2460.8935546875,2460.8935546875,2460.201171875,2460.646484375,2460.283447265625,283.3500061035156,283.82611083984375,283.45513916015625,2458.652587890625,2460.220458984375,2458.1748046875,2459.74169921875,2393.734130859375,2395.81884765625,2450.781005859375,2434.1025390625,2393.683349609375,2452.4912109375,2433.151611328125,2395.81884765625,2450.781005859375,2434.1025390625,2395.298095703125,2433.380126953125,2395.81787109375,2450.781005859375,2434.1025390625,2432.605712890625
10,7-Jan-13,5:00,2460.8935546875,2460.8935546875,2460.8935546875,2460.1630859375,2460.609375,2460.337890625,283.3228454589844,283.7995300292969,283.4907531738281,2458.619140625,2460.22216796875,2458.14111328125,2459.746337890625,2393.67919921875,2395.778564453125,2451.869873046875,2435.01904296875,2393.6591796875,2452.187255859375,2434.159912109375,2395.778564453125,2451.869873046875,2435.01904296875,2395.245849609375,2434.347412109375,2395.778564453125,2450.54736328125,2435.01904296875,2433.623291015625
