Time,Time Varying Load 671.Single phase time-varying loadA.P_measured,Time Varying Load 675.Single phase time-varying loadB.P_measured,Time Varying Load 671.Single phase time-varying loadA1.P_measured,Time Varying Load 671.Single phase time-varying loadA2.P_measured,Time Varying Load 675.Single phase time-varying loadA.P_measured,Time Varying Load 675.Single phase time-varying loadC.P_measured
0.0,212792.015625,126423.203125,218716.515625,208187.546875,115932.09375,125529.9453125
0.25,212502.15625,126664.84375,219453.78125,207388.359375,116154.921875,125737.1328125
0.5,212425.203125,126611.9375,219362.4375,207285.0,116170.3671875,125678.8984375
0.75,212395.6875,126588.3671875,219322.015625,207244.796875,116176.4921875,125656.6484375
1.0,212384.21875,126580.5390625,219308.515625,207229.265625,116178.8515625,125648.1171875
1.25,212380.015625,126577.1171875,219302.53125,207223.4375,116179.796875,125644.8359375
1.5,212378.375,126575.9765625,219300.53125,207221.09375,116180.1171875,125643.546875
1.75,212377.546875,126575.4609375,219299.65625,207220.140625,116180.1640625,125643.0703125
2.0,212316.25,126445.671875,218891.984375,206982.265625,116148.828125,125401.328125
2.25,212377.078125,126575.1484375,219299.203125,207219.8125,116180.2421875,125642.8125
2.5,212377.15625,126575.1875,219299.203125,207219.765625,116180.234375,125642.78125
2.75,212377.125,126575.1171875,219299.15625,207219.671875,116180.2265625,125642.796875
3.0,212377.046875,126575.1640625,219299.203125,207219.578125,116180.125,125642.7890625
3.25,212377.390625,126575.1640625,219299.109375,207219.75,116180.375,125642.765625
3.5,212377.1875,126575.1484375,219299.140625,207219.5625,116180.2109375,125642.75
3.75,212377.40625,126575.1640625,219299.15625,207219.6875,116180.421875,125642.7265625
4.0,212377.1875,126575.1640625,219299.171875,207219.578125,116180.2890625,125642.71875
4.25,212315.96875,126445.5859375,218891.8125,206981.953125,116148.84375,125401.203125
4.5,212377.421875,126575.09375,219299.109375,207219.828125,116180.4296875,125642.7890625
4.75,212377.109375,126575.09375,219299.078125,207219.75,116180.3125,125642.796875
5.0,212377.171875,126575.1015625,219299.046875,207219.71875,116180.3125,125642.765625
5.25,212377.078125,126575.109375,219299.125,207219.65625,116180.25,125642.765625
5.5,212377.125,126575.15625,219299.171875,207219.640625,116180.21875,125642.7421875
5.75,212376.984375,126575.140625,219299.125,207219.515625,116180.203125,125642.765625
6.0,212377.046875,126575.1953125,219299.203125,207219.609375,116180.1484375,125642.765625
6.25,212377.125,126575.171875,219299.203125,207219.484375,116180.203125,125642.75
6.5,212315.890625,126445.5625,218891.765625,206981.984375,116148.84375,125401.234375
6.75,212377.296875,126575.0703125,219299.109375,207219.796875,116180.375,125642.7890625
7.0,212377.21875,126575.078125,219299.078125,207219.765625,116180.34375,125642.78125
7.25,212377.234375,126575.1328125,219299.125,207219.65625,116180.3828125,125642.765625
7.5,212377.078125,126575.1328125,219299.140625,207219.65625,116180.234375,125642.7578125
7.75,212376.96875,126575.15625,219299.234375,207219.59375,116180.109375,125642.8046875
8.0,212377.328125,126575.171875,219299.15625,207219.578125,116180.3359375,125642.765625
