Time,Node 680.V1_rms,Node 680.V2_rms,Node 680.V3_rms,Node 684.V1_rms,Node 684.V3_rms,Node 692.V1_rms,Node 692.V2_rms,Node 692.V3_rms,UpperBound,LowerBound
0.0,2166.89208984375,2360.921630859375,2343.960205078125,2162.82080078125,2340.521728515625,2166.89208984375,2360.921630859375,2343.960205078125,2522.0,2282.0
0.25,2167.503662109375,2360.8994140625,2343.75390625,2163.421142578125,2340.3076171875,2167.503662109375,2360.8994140625,2343.75390625,2522.0,2282.0
0.5,2167.561279296875,2360.916259765625,2343.744873046875,2163.4775390625,2340.300537109375,2167.561279296875,2360.916259765625,2343.744873046875,2522.0,2282.0
0.75,2167.582763671875,2360.923828125,2343.74169921875,2164.667724609375,2340.2978515625,2167.582763671875,2360.923828125,2343.74169921875,2522.0,2282.0
1.0,2168.7626953125,2360.92578125,2343.740478515625,2163.507080078125,2340.296875,2168.7626953125,2360.92578125,2343.740478515625,2522.0,2282.0
1.25,2167.59423828125,2360.927001953125,2343.73974609375,2163.510009765625,2340.296142578125,2167.59423828125,2360.927001953125,2343.73974609375,2522.0,2282.0
1.5,2167.595458984375,2360.927490234375,2343.739990234375,2163.51123046875,2341.56103515625,2167.595458984375,2360.927490234375,2343.739990234375,2522.0,2282.0
1.75,2167.59619140625,2360.927001953125,2343.73974609375,2163.511962890625,2340.296142578125,2167.59619140625,2360.927001953125,2343.73974609375,2522.0,2282.0
2.0,2167.59619140625,2360.92724609375,2343.739501953125,2163.51171875,2340.296142578125,2167.59619140625,2360.92724609375,2343.739501953125,2522.0,2282.0
2.25,2167.596435546875,2360.92724609375,2343.739990234375,2163.51220703125,2340.296630859375,2167.596435546875,2360.92724609375,2343.739990234375,2522.0,2282.0
2.5,2167.59619140625,2360.927734375,2343.739501953125,2163.511962890625,2340.296142578125,2167.59619140625,2360.927734375,2343.739501953125,2522.0,2282.0
2.75,2167.595703125,2360.927490234375,2343.739501953125,2163.511474609375,2340.296142578125,2167.595703125,2360.927490234375,2343.739501953125,2522.0,2282.0
3.0,2167.595947265625,2360.927978515625,2343.739501953125,2164.6806640625,2340.296142578125,2167.595947265625,2360.927978515625,2343.739501953125,2522.0,2282.0
3.25,2168.767822265625,2360.92724609375,2343.7392578125,2163.51220703125,2340.2958984375,2168.767822265625,2360.92724609375,2343.7392578125,2522.0,2282.0
3.5,2167.59619140625,2360.927734375,2343.739501953125,2163.511962890625,2340.296142578125,2167.59619140625,2360.927734375,2343.739501953125,2522.0,2282.0
3.75,2167.596435546875,2360.92822265625,2343.7392578125,2163.51220703125,2341.560546875,2167.596435546875,2360.92822265625,2343.7392578125,2522.0,2282.0
4.0,2167.59619140625,2360.927001953125,2343.7392578125,2163.511962890625,2340.295654296875,2167.59619140625,2360.927001953125,2343.7392578125,2522.0,2282.0
4.25,2167.596435546875,2360.92724609375,2343.7392578125,2163.51220703125,2340.2958984375,2167.596435546875,2360.92724609375,2343.7392578125,2522.0,2282.0
4.5,2167.59619140625,2360.927978515625,2343.7392578125,2163.511962890625,2340.2958984375,2167.59619140625,2360.927978515625,2343.7392578125,2522.0,2282.0
4.75,2167.596435546875,2360.927001953125,2343.739501953125,2163.51220703125,2340.296142578125,2167.596435546875,2360.927001953125,2343.739501953125,2522.0,2282.0
5.0,2167.596435546875,2360.92724609375,2343.73974609375,2163.51220703125,2340.29638671875,2167.596435546875,2360.92724609375,2343.73974609375,2522.0,2282.0
5.25,2167.59619140625,2360.927734375,2343.73974609375,2164.680908203125,2340.29638671875,2167.59619140625,2360.927734375,2343.73974609375,2522.0,2282.0
5.5,2168.767578125,2360.927734375,2343.7392578125,2163.511962890625,2340.2958984375,2168.767578125,2360.927734375,2343.7392578125,2522.0,2282.0
5.75,2167.59619140625,2360.92724609375,2343.7392578125,2163.511962890625,2340.2958984375,2167.59619140625,2360.92724609375,2343.7392578125,2522.0,2282.0
