Node,Phase,Nominal_V,Min_V,Min_pu,MinSimHour,Max_V,Max_pu,MaxSimHour,UnderVoltage,OverVoltage
634,A,277,280.456085205078,1.01247684189559,49.625,284.912994384766,1.02856676673201,18.3125,0,0
634,B,277,281.291137695312,1.01549147182423,48.625,284.511138916016,1.02711602496757,19.375,0,0
634,C,277,281.449676513672,1.01606381412878,48.125,284.750793457031,1.027981203816,18.6875,0,0
611,C,2401,2272.06811523438,0.946300756032643,48.25,2453.611328125,1.02191225661183,2.6875,1,0
632,B,2401,2460.89331054688,1.02494515224776,1.375,2462.22338867188,1.02549912064635,0.1875,0,0
632,A,2401,2460.89331054688,1.02494515224776,88.875,2462.22338867188,1.02549912064635,0.375,0,0
632,C,2401,2460.89331054688,1.02494515224776,2.1875,2462.22338867188,1.02549912064635,0.0625,0,0
633,A,2401,2456.7177734375,1.02320606973657,50.0625,2463.0341796875,1.02583680953249,17.125,0,0
633,B,2401,2457.89208984375,1.02369516444971,48.625,2462.46118164062,1.02559815978368,19.1875,0,0
633,C,2401,2458.265625,1.0238507392753,48.125,2463.08740234375,1.02585897640306,19.125,0,0
645,B,2401,2447.47802734375,1.01935777898532,0,2462.22338867188,1.02549912064635,3,0,0
645,C,2401,2457.56860351562,1.02356043461709,0,2463.16064453125,1.02588948127082,48.75,0,0
646,B,2401,2443.5068359375,1.01770380505519,0,2462.22338867188,1.02549912064635,3,0,0
646,C,2401,2455.57373046875,1.0227295837021,0,2464.04296875,1.02625696324448,72.5625,0,0
652,A,2401,1913.54821777344,0.796979682537875,48.375,2518.60424804688,1.04898136111907,18.8125,1,0
671,A,2401,1932.29541015625,0.804787759332049,48.4375,2514.583984375,1.04730694892753,18.75,1,0
671,B,2401,2360.83740234375,0.98327255407903,0,2457.900390625,1.02369862166806,2.875,0,0
671,C,2401,2282.3544921875,0.950584961344232,48.25,2454.93725585938,1.02246449640124,3.625,0,0
675,A,2401,1914.05798339844,0.797191996417508,48.4375,2516.88256835938,1.04826429336084,19,1,0
675,B,2401,2358.48901367188,0.982294466335641,0,2457.900390625,1.02369862166806,2.875,0,0
675,C,2401,2277.85034179688,0.948709013659673,48.875,2454.93725585938,1.02246449640124,3.625,1,0
680,A,2401,1932.29541015625,0.804787759332049,48.4375,2514.583984375,1.04730694892753,18.75,1,0
680,B,2401,2360.83740234375,0.98327255407903,0,2457.900390625,1.02369862166806,2.875,0,0
680,C,2401,2282.3544921875,0.950584961344232,48.25,2454.93725585938,1.02246449640124,3.625,0,0
684,A,2401,1927.23156738281,0.802678703616332,48.4375,2515.00537109375,1.04748245360006,18.75,1,0
684,C,2401,2276.51928710938,0.948154638529519,48.5625,2454.93725585938,1.02246449640124,3.625,1,0
692,A,2401,1932.29541015625,0.804787759332049,48.4375,2514.583984375,1.04730694892753,18.75,1,0
692,B,2401,2360.83740234375,0.98327255407903,0,2457.900390625,1.02369862166806,2.875,0,0
692,C,2401,2282.3544921875,0.950584961344232,48.25,2454.93725585938,1.02246449640124,3.625,0,0
