SimHour,Node646B_ActivePower_kW,Node646B_RMSVoltage_V
0,228.704109375,2443.5068359375
0.0625,228.271375,2444.84057617188
0.125,228.17790625,2443.52319335938
0.1875,228.14084375,2443.52416992188
0.25,228.1306875,2443.52490234375
0.3125,228.12584375,2443.52490234375
0.375,228.11703125,2443.52514648438
0.4375,228.115359375,2443.52514648438
0.5,227.688578125,2443.52514648438
0.5625,228.11709375,2443.52514648438
0.625,228.1151875,2444.84545898438
0.6875,228.117125,2443.52514648438
0.75,228.1188125,2443.52514648438
0.8125,228.124953125,2443.52514648438
0.875,228.1144375,2443.52490234375
0.9375,228.1179375,2443.52514648438
1,228.115390625,2443.52514648438
1.0625,228.11446875,2443.52514648438
1.125,228.123046875,2444.84692382812
1.1875,228.1180625,2443.52514648438
1.25,228.121546875,2443.52514648438
1.3125,228.116421875,2443.52685546875
1.375,228.120171875,2443.52514648438
1.4375,228.119515625,2443.52514648438
1.5,228.11709375,2443.52514648438
1.5625,228.115921875,2443.52514648438
1.625,227.69675,2443.52514648438
1.6875,228.11928125,2443.52514648438
1.75,228.11584375,2444.845703125
1.8125,228.1179375,2443.52514648438
1.875,228.1210625,2443.52514648438
1.9375,228.108328125,2443.52514648438
2,228.12046875,2443.52514648438
2.0625,228.11578125,2443.52514648438
2.125,228.118484375,2443.52514648438
2.1875,228.118,2443.52514648438
2.25,228.120578125,2444.84545898438
2.3125,228.112515625,2444.84545898438
2.375,228.115171875,2443.52514648438
2.4375,228.120453125,2443.52514648438
2.5,228.119078125,2443.52514648438
2.5625,228.117953125,2443.52514648438
2.625,228.117828125,2443.52514648438
2.6875,0,2460.8935546875
2.75,0,2460.8935546875
2.8125,0,2460.8935546875
2.875,0,2460.8935546875
2.9375,0,2460.8935546875
3,0,2462.22338867188
3.0625,0,2460.8935546875
3.125,0,2460.8935546875
3.1875,0,2460.8935546875
3.25,0,2460.8935546875
3.3125,0,2460.8935546875
3.375,0,2460.8935546875
3.4375,0,2460.8935546875
3.5,0,2460.8935546875
3.5625,0,2460.8935546875
3.625,0,2460.8935546875
3.6875,0,2460.8935546875
3.75,0,2460.8935546875
3.8125,0,2460.8935546875
3.875,0,2460.8935546875
3.9375,0,2460.8935546875
4,0,2460.8935546875
4.0625,0,2460.8935546875
4.125,0,2462.22338867188
4.1875,0,2460.8935546875
4.25,0,2460.8935546875
4.3125,0,2460.8935546875
4.375,0,2460.8935546875
4.4375,0,2460.8935546875
4.5,0,2460.8935546875
4.5625,0,2460.8935546875
4.625,0,2460.8935546875
4.6875,0,2462.22338867188
4.75,0,2460.8935546875
4.8125,0,2460.8935546875
4.875,0,2460.8935546875
4.9375,0,2460.8935546875
5,0,2460.8935546875
5.0625,0,2460.8935546875
5.125,0,2460.8935546875
5.1875,0,2460.8935546875
5.25,13.7588857421875,2455.208984375
5.3125,13.7600341796875,2455.2109375
5.375,13.75690234375,2455.21020507812
5.4375,13.760763671875,2456.53759765625
5.5,13.7605302734375,2455.21215820312
5.5625,13.7423154296875,2455.2109375
5.625,13.760908203125,2455.20776367188
5.6875,13.7574609375,2455.2109375
5.75,13.7543671875,2455.57153320312
5.8125,13.76124609375,2455.5732421875
5.875,13.75815234375,2455.5712890625
5.9375,13.759236328125,2455.57275390625
6,13.75696875,2455.57250976562
6.0625,13.7622998046875,2455.5712890625
6.125,13.7416884765625,2455.56958007812
6.1875,13.763361328125,2455.5712890625
6.25,15.7567880859375,2455.9140625
6.3125,15.760853515625,2455.91479492188
6.375,15.760658203125,2455.91357421875
6.4375,15.7622333984375,2455.91430664062
6.5,15.76519140625,2455.91381835938
6.5625,15.76059375,2455.91430664062
6.625,15.7553505859375,2455.91650390625
6.6875,15.7615361328125,2455.91333007812
6.75,16.762408203125,2456.18823242188
6.8125,16.762095703125,2456.1875
6.875,16.7604609375,2456.18823242188
6.9375,16.765228515625,2456.18725585938
7,16.7655703125,2456.18701171875
7.0625,16.763990234375,2456.18798828125
7.125,16.76159765625,2457.5146484375
7.1875,16.7637578125,2456.18774414062
7.25,16.74939453125,2456.240234375
7.3125,16.761375,2456.23876953125
7.375,16.761091796875,2456.23681640625
7.4375,16.755099609375,2456.24267578125
7.5,16.765126953125,2456.23876953125
7.5625,16.76971484375,2456.23852539062
7.625,16.7653203125,2456.23876953125
7.6875,16.7659140625,2457.5703125
7.75,17.765158203125,2456.255859375
7.8125,17.748732421875,2456.25366210938
7.875,17.76680859375,2456.25537109375
7.9375,17.765392578125,2456.25561523438
8,17.762021484375,2456.2568359375
8.0625,17.766681640625,2456.25634765625
8.125,17.77181640625,2456.25537109375
8.1875,17.7653828125,2456.2568359375
8.25,19.767068359375,2456.1884765625
8.3125,19.767615234375,2456.18627929688
8.375,19.76628515625,2456.18798828125
8.4375,19.769970703125,2456.18408203125
8.5,19.762263671875,2456.1875
8.5625,19.75780859375,2456.1875
8.625,19.769251953125,2456.18579101562
8.6875,19.76709375,2456.18579101562
8.75,19.77230859375,2456.1357421875
8.8125,19.766919921875,2456.13500976562
8.875,19.76796875,2456.13500976562
8.9375,19.769275390625,2456.13256835938
