Step,SimHour,Battery646_kW,BatteryAction,SoC_Predicted_pct,SoC_Measured_pct,SoC_Error_pctPoint
104,52,5.304,Discharge,0,0.02,0.02
105,52.5,0.408,Idle,-0,0,0
106,53,-1.2913,Charge,0.0633,0,-0.0633
107,53.5,-1.8176,Charge,0.0891,0.05,-0.0391
108,54,-6.027,Charge,0.3454,0.17,-0.1754
109,54.5,-11.208,Charge,0.7194,0.49,-0.2294
110,55,-4.7067,Charge,0.7207,1,0.2793
111,55.5,17.1573,Discharge,0.159,1.14,0.981
112,56,2.1966,Discharge,1.0323,0.38,-0.6523
113,56.5,-5.5855,Charge,0.6538,0.32,-0.3338
114,57,-7.4897,Charge,0.6871,0.62,-0.0671
115,57.5,-16.7709,Charge,1.4421,1.01,-0.4321
116,58,-28.2572,Charge,2.3952,1.9,-0.4952
117,58.5,-29.1102,Charge,3.327,3.27,-0.0569999999999999
118,59,-42.955,Charge,5.3756,4.77,-0.605600000000001
119,59.5,-49.1313,Charge,7.1784,6.9,-0.2784
120,60,-53.5531,Charge,9.5252,9.33,-0.1952
121,60.5,-61.4322,Charge,12.3414,12.01,-0.3314
122,61,-63.2552,Charge,15.1107,15.01,-0.1007
123,61.5,-62.5208,Charge,18.0747,18.1,0.0253000000000014
124,62,-41.904,Charge,20.1541,21.08,0.925899999999999
125,62.5,-24.0847,Charge,22.2606,23.06,0.799399999999999
126,63,-24.6009,Charge,24.2659,24.24,-0.0259
127,63.5,-19.7955,Charge,25.2104,25.44,0.229600000000001
128,64,-3.3599,Charge,25.6047,26.33,0.725299999999997
129,64.5,4.4581,Discharge,26.1115,26.45,0.3385
130,65,8.8592,Discharge,26.0157,26.23,0.214300000000001
131,65.5,21.4953,Discharge,25.1763,25.73,0.553699999999999
132,66,44.1147,Discharge,23.5675,24.58,1.0125
133,66.5,67.0857,Discharge,21.2915,22.31,1.0185
134,67,70.9248,Discharge,18.8333,19.01,0.1767
135,67.5,68.3029,Discharge,15.6618,15.55,-0.111799999999999
136,68,63.6353,Discharge,12.4306,12.23,-0.2006
137,68.5,43.5925,Discharge,10.0931,9.19,-0.9031
138,69,43.6482,Discharge,7.0504,7.03,-0.0203999999999995
139,69.5,44.1882,Discharge,4.8639,4.88,0.0160999999999998
