step,day,date_label,profile_time,eta_per_kwh,p_load_forecast_total_kw,p_pv_forecast_total_kw,p_load_actual_total_kw,p_pv_actual_total_kw,baseline_grid_actual_kw,pbat_aggregate_kw,battery_action,grid_forecast_qp_kw,grid_actual_calculated_kw,soc_predicted_pct,soc646_measured_pct,qp_status,qp_objective_day,pbat_646_B_kw,pbat_645_B_kw,pbat_611_C_kw,pbat_652_A_kw,pbat_671_A_kw,pbat_671_B_kw,pbat_671_C_kw,pbat_692_C_kw,pbat_692_B_kw,pbat_692_A_kw,pbat_675_C_kw,pbat_675_B_kw,pbat_675_A_kw,pbat_634_C_kw,pbat_634_B_kw,pbat_634_A_kw
1,1,7-Jan-13,0:30,0.03,770.334,0.128,770.334,0.128,770.206,76.368057,Discharge,693.837943,693.837943,49.712902,49.97,optimal,406508.912253,5.856798,3.617434,3.904532,2.641301,9.129715,8.900037,9.129715,3.789693,0.0,0.0,6.832931,2.067105,10.967142,2.985819,2.583882,3.961952
2,1,7-Jan-13,1:00,0.03,727.572,0.104,727.572,0.104,727.468,33.630057,Discharge,693.837943,693.837943,49.586473,49.69,optimal,406508.912253,2.579147,1.593003,1.719431,1.163145,4.020435,3.919292,4.020435,1.66886,0.0,0.0,3.009005,0.910287,4.82958,1.314859,1.137859,1.744717
3,1,7-Jan-13,1:30,0.03,628.524,0.144,628.524,0.144,628.38,-65.457943,Charge,693.837943,693.837943,49.832556,49.58,optimal,406508.912253,-5.020083,-3.100639,-3.346722,-2.263959,-7.825423,-7.628557,-7.825423,-3.248289,-0.0,-0.0,-5.856763,-1.771794,-9.400351,-2.559258,-2.214742,-3.395938
4,1,7-Jan-13,2:00,0.03,587.784,0.212,587.784,0.212,587.572,-106.265943,Charge,693.837943,693.837943,50.232052,49.84,optimal,406508.912253,-8.149719,-5.03365,-5.433146,-3.675363,-12.703974,-12.384377,-12.703974,-5.273348,-0.0,-0.0,-9.508005,-2.876371,-15.260748,-4.154759,-3.595464,-5.513045
5,1,7-Jan-13,2:30,0.03,548.304,0.108,548.304,0.108,548.196,-145.641943,Charge,693.837943,693.837943,50.779578,50.25,optimal,406508.912253,-11.169532,-6.898829,-7.446355,-5.03724,-17.41133,-16.973309,-17.41133,-7.227345,-0.0,-0.0,-13.031121,-3.942188,-20.915497,-5.694271,-4.927735,-7.55586
6,1,7-Jan-13,3:00,0.03,546.074,0.058,546.074,0.058,546.016,-147.821943,Charge,693.837943,693.837943,51.335299,50.78,optimal,406508.912253,-11.33672,-7.002092,-7.557814,-5.112639,-17.671947,-17.227369,-17.671947,-7.335525,-0.0,-0.0,-13.226174,-4.001195,-21.228565,-5.779505,-5.001494,-7.668958
7,1,7-Jan-13,3:30,0.03,536.482,0.2,536.482,0.2,536.282,-157.555943,Charge,693.837943,693.837943,51.927615,51.33,optimal,406508.912253,-12.083238,-7.463176,-8.055492,-5.449303,-18.835635,-18.361783,-18.835635,-7.818566,-0.0,-0.0,-14.097111,-4.264672,-22.626455,-6.160082,-5.33084,-8.173955
8,1,7-Jan-13,4:00,0.03,531.554,0.048,531.554,0.048,531.506,-162.331943,Charge,693.837943,693.837943,52.537886,51.92,optimal,406508.912253,-12.449517,-7.689408,-8.299678,-5.614488,-19.406601,-18.918384,-19.406601,-8.05557,-0.0,-0.0,-14.524437,-4.393947,-23.312332,-6.346813,-5.492434,-8.421732
9,1,7-Jan-13,4:30,0.03,529.484,0.3,529.484,0.3,529.184,-164.653943,Charge,693.837943,693.837943,53.156885,52.51,optimal,406508.912253,-12.627596,-7.799397,-8.418397,-5.694798,-19.684193,-19.188993,-19.684193,-8.170797,-0.0,-0.0,-14.732195,-4.456798,-23.645792,-6.437598,-5.570998,-8.542197
10,1,7-Jan-13,5:00,0.03,525.65,0.116,525.65,0.116,525.534,-168.303943,Charge,693.837943,693.837943,53.789607,53.15,optimal,406508.912253,-12.90752,-7.972292,-8.605014,-5.821039,-20.120547,-19.614369,-20.120547,-8.351925,-0.0,-0.0,-15.058774,-4.555595,-24.169965,-6.580305,-5.694494,-8.731558
