step,day,k,p_load_fc_kw,p_pv_fc_kw,p_load_total_actual_kw,p_pv_total_actual_kw,baseline_grid_kw,battery_agg_kw,battery_action,grid_kw,grid_forecast_kw,soc_predicted_pct,soc_measured_646_pct,mpc_status
51,2,3,601.122,0.164,601.122,0.164,600.958,-803.5092,Charge,1404.4672,1404.4672,45.8041,43.09,optimal
52,2,4,559.964,0.156,559.964,0.156,559.808,-844.6592,Charge,1404.4672,1404.4672,48.9795,46.14,optimal
53,2,5,585.936,0.296,585.936,0.296,585.64,-818.8272,Charge,1404.4672,1404.4672,52.0578,49.32,optimal
54,2,6,558.69,0.2,558.69,0.2,558.49,-845.9772,Charge,1404.4672,1404.4672,55.2382,52.42,optimal
55,2,7,575.054,0,575.054,0,575.054,-829.4132,Charge,1404.4672,1404.4672,58.3563,55.6,optimal
56,2,8,568.032,0.06,568.032,0.06,567.972,-836.4952,Charge,1404.4672,1404.4672,61.501,58.74,optimal
57,2,9,571.316,0.108,571.316,0.108,571.208,-833.2592,Charge,1404.4672,1404.4672,64.6336,61.88,optimal
58,2,10,560.216,0.44,560.216,0.44,559.776,-844.6912,Charge,1404.4672,1404.4672,67.8091,65.02,optimal
59,2,11,559.922,0.232,559.922,0.232,559.69,-844.7772,Charge,1404.4672,1404.4672,70.985,68.2,optimal
60,2,12,587.524,0.228,587.524,0.228,587.296,-817.1712,Charge,1404.4672,1404.4672,74.057,71.38,optimal
61,2,13,604.91,9.206,604.91,9.206,595.704,-808.7632,Charge,1404.4672,1404.4672,77.0975,74.46,optimal
62,2,14,661.894,64.44,661.894,64.44,597.454,-807.0132,Charge,1404.4672,1404.4672,80.1314,77.5,optimal
63,2,15,689.118,175.972,689.118,175.972,513.146,-188.9626,Charge,702.1086,702.1086,80.8418,80.31,optimal
64,2,16,743.098,314.808,743.098,314.808,428.29,-273.8186,Charge,702.1086,702.1086,81.8712,81.03,optimal
65,2,17,823.554,443.502,823.554,443.502,380.052,-322.0566,Charge,702.1086,702.1086,83.0819,82.08,optimal
66,2,18,851.35,595.642,851.35,595.642,255.708,-446.4006,Charge,702.1086,702.1086,84.7601,83.35,optimal
67,2,19,888.854,789.788,888.854,789.788,99.066,-603.0426,Charge,702.1086,702.1086,87.0272,85.07,optimal
68,2,20,993.1,982.948,993.1,982.948,10.152,-691.9566,Charge,702.1086,702.1086,89.6285,87.36,optimal
69,2,21,1218.084,1036.966,1218.084,1036.966,181.118,-520.9906,Charge,702.1086,702.1086,91.5871,89.9,optimal
70,2,22,1283.24,1090.962,1283.24,1090.962,192.278,-509.8306,Charge,702.1086,702.1086,93.5038,91.85,optimal
71,2,23,1446.28,1178.128,1446.28,1178.128,268.152,-433.9566,Charge,702.1086,702.1086,95.1352,93.73,optimal
72,2,24,1578.538,1355.272,1578.538,1355.272,223.266,-478.8426,Charge,702.1086,702.1086,96.9354,95.37,optimal
73,2,25,1841.69,1500.324,1841.69,1500.324,341.366,-360.7426,Charge,702.1086,702.1086,98.2915,97.14,optimal
74,2,26,1973.82,1516.364,1973.82,1516.364,457.456,-244.6526,Charge,702.1086,702.1086,99.2113,98.47,optimal
75,2,27,2069.084,1576.776,2069.084,1576.776,492.308,-209.8006,Charge,702.1086,702.1086,100,99.38,optimal
76,2,28,2252.562,1550.002,2252.562,1550.002,702.56,0,Idle,702.56,702.56,100,100,optimal
77,2,29,2376.652,1383.374,2376.652,1383.374,993.278,611.0147,Discharge,382.2633,382.2633,97.703,99.76,optimal
78,2,30,2483.374,1253.08,2483.374,1253.08,1230.294,848.0307,Discharge,382.2633,382.2633,94.5149,97.37,optimal
79,2,31,2550.682,1185.186,2550.682,1185.186,1365.496,983.2327,Discharge,382.2633,382.2633,90.8185,94.14,optimal
80,2,32,2615.23,1134.09,2615.23,1134.09,1481.14,1098.8767,Discharge,382.2633,382.2633,86.6874,90.42,optimal
81,2,33,2676.102,991.514,2676.102,991.514,1684.588,1302.3247,Discharge,382.2633,382.2633,81.7914,86.22,optimal
82,2,34,2840.86,774.424,2840.86,774.424,2066.436,1684.1727,Discharge,382.2633,382.2633,75.46,81.18,optimal
83,2,35,2979.258,591.472,2979.258,591.472,2387.786,2005.5227,Discharge,382.2633,382.2633,67.9204,74.73,optimal
84,2,36,3124.774,388.886,3124.774,388.886,2735.888,2353.6247,Discharge,382.2633,382.2633,59.0722,67.05,optimal
85,2,37,3289.958,272.084,3289.958,272.084,3017.874,2635.6107,Discharge,382.2633,382.2633,49.1639,58.07,optimal
86,2,38,3254.864,165.43,3254.864,165.43,3089.434,2707.1707,Discharge,382.2633,382.2633,38.9865,48.14,optimal
87,2,39,3290.296,65.964,3290.296,65.964,3224.332,2842.0687,Discharge,382.2633,382.2633,28.3021,37.89,optimal
88,2,40,3289.316,13.89,3289.316,13.89,3275.426,2893.1627,Discharge,382.2633,382.2633,17.4255,27.19,optimal
89,2,41,3251.492,0.196,3251.492,0.196,3251.296,1338.9794,Discharge,1912.3166,1912.3166,12.3918,16.89,optimal
90,2,42,3191.914,0.172,3191.914,0.172,3191.742,1279.4254,Discharge,1912.3166,1912.3166,7.5819,11.87,optimal
91,2,43,2980.566,0.272,2980.566,0.272,2980.294,1067.9774,Discharge,1912.3166,1912.3166,3.5669,7.14,optimal
92,2,44,2861.296,0.174,2861.296,0.174,2861.122,948.8054,Discharge,1912.3166,1912.3166,0,3.17,optimal
93,2,45,2487.95,0.234,2487.95,0.234,2487.716,-0.0187,Idle,2487.7347,2487.7347,0.0001,0,optimal
94,2,46,2227.222,0.124,2227.222,0.124,2227.098,0.0546,Idle,2227.0434,2227.0434,-0.0001,0,optimal
95,2,47,1848.324,0.16,1848.324,0.16,1848.164,-0.0179,Idle,1848.1819,1848.1819,0,0,optimal
96,2,48,1702.788,0.018,1702.788,0.018,1702.77,0.0401,Idle,1702.7299,1702.7299,-0.0002,0,optimal
97,3,1,1505.618,0.108,1505.618,0.108,1505.51,-0.02,Idle,1505.53,1505.53,0,0,optimal
98,3,2,1455.584,0.126,1455.584,0.126,1455.458,-0.0037,Idle,1455.4617,1455.4617,0,0,optimal
99,3,3,1345.458,0.144,1345.458,0.144,1345.314,0.0127,Idle,1345.3013,1345.3013,0,0,optimal
100,3,4,1233.96,0.18,1233.96,0.18,1233.78,-0.0045,Idle,1233.7845,1233.7845,0,0,optimal
101,3,5,1231.682,0.108,1231.682,0.108,1231.574,-0.0026,Idle,1231.5766,1231.5766,0,0,optimal
102,3,6,1217.866,0.382,1217.866,0.382,1217.484,0.0068,Idle,1217.4772,1217.4772,0,0,optimal
103,3,7,1142.642,0.108,1142.642,0.108,1142.534,-0.0021,Idle,1142.5361,1142.5361,0,0,optimal
104,3,8,1068.226,0.404,1068.226,0.404,1067.822,0.0162,Idle,1067.8058,1067.8058,-0.0001,0,optimal
105,3,9,1022.156,0.114,1022.156,0.114,1022.042,-0.0081,Idle,1022.0501,1022.0501,0,0,optimal
106,3,10,988.068,0.12,988.068,0.12,987.948,0.0117,Idle,987.9363,987.9363,0,0,optimal
107,3,11,936.502,0.048,936.502,0.048,936.454,-0.0058,Idle,936.4598,936.4598,0,0,optimal
108,3,12,856.426,0.324,856.426,0.324,856.102,-45.7358,Charge,901.8378,901.8378,0.1719,0.01,optimal
109,3,13,786.948,6.454,786.948,6.454,780.494,-121.3441,Charge,901.8381,901.8381,0.6281,0.24,optimal
110,3,14,849.116,59.264,849.116,59.264,789.852,-111.9861,Charge,901.8381,901.8381,1.0491,0.68,optimal
111,3,15,827.288,141.474,827.288,141.474,685.814,235.02,Discharge,450.794,450.794,0.1656,0.99,optimal
112,3,16,751.676,256.836,751.676,256.836,494.84,44.046,Discharge,450.794,450.794,0,0.18,optimal
113,3,17,774.422,357.312,774.422,357.312,417.11,-4.5702,Charge,421.6802,421.6802,0.0172,0.04,optimal
114,3,18,815.3,485.542,815.3,485.542,329.758,-91.921,Charge,421.679,421.679,0.3627,0.08,optimal
115,3,19,812.048,617.354,812.048,617.354,194.694,-226.985,Charge,421.679,421.679,1.2161,0.47,optimal
116,3,20,766.926,709.204,766.926,709.204,57.722,-363.957,Charge,421.679,421.679,2.5843,1.36,optimal
117,3,21,798.404,795.328,798.404,795.328,3.076,-418.603,Charge,421.679,421.679,4.158,2.75,optimal
118,3,22,797.428,904.484,797.428,904.484,-107.056,-528.735,Charge,421.679,421.679,6.1458,4.36,optimal
119,3,23,796.616,971.204,796.616,971.204,-174.588,-596.267,Charge,421.679,421.679,8.3874,6.4,optimal
120,3,24,819.762,995.868,819.762,995.868,-176.106,-597.785,Charge,421.679,421.679,10.6347,8.65,optimal
121,3,25,854.308,1076.53,854.308,1076.53,-222.222,-643.901,Charge,421.679,421.679,13.0554,10.92,optimal
122,3,26,826.406,1136.318,826.406,1136.318,-309.912,-731.591,Charge,421.679,421.679,15.8057,13.36,optimal
123,3,27,788.852,1158.078,788.852,1158.078,-369.226,-790.905,Charge,421.679,421.679,18.779,16.13,optimal
124,3,28,778.816,985.614,778.816,985.614,-206.798,-628.477,Charge,421.679,421.679,21.1417,19.06,optimal
125,3,29,757.296,1010.638,757.296,1010.638,-253.342,-337.4778,Charge,84.1358,84.1358,22.4104,21.3,optimal
126,3,30,789.612,1031.416,789.612,1031.416,-241.804,-325.9398,Charge,84.1358,84.1358,23.6358,22.57,optimal
127,3,31,808.372,944.736,808.372,944.736,-136.364,-220.4998,Charge,84.1358,84.1358,24.4647,23.76,optimal
128,3,32,833.384,759.524,833.384,759.524,73.86,-10.2758,Charge,84.1358,84.1358,24.5033,24.51,optimal
129,3,33,795.028,649.704,795.028,649.704,145.324,61.1882,Discharge,84.1358,84.1358,24.2733,24.53,optimal
130,3,34,858.284,605.774,858.284,605.774,252.51,168.3742,Discharge,84.1358,84.1358,23.6403,24.25,optimal
131,3,35,879.684,491.478,879.684,491.478,388.206,304.0702,Discharge,84.1358,84.1358,22.4972,23.56,optimal
132,3,36,936.972,292.128,936.972,292.128,644.844,560.7082,Discharge,84.1358,84.1358,20.3893,22.34,optimal
133,3,37,1028.216,126.16,1028.216,126.16,902.056,817.9202,Discharge,84.1358,84.1358,17.3144,20.13,optimal
134,3,38,1019.526,50.478,1019.526,50.478,969.048,884.9122,Discharge,84.1358,84.1358,13.9877,17.02,optimal
135,3,39,949.052,12.596,949.052,12.596,936.456,852.3202,Discharge,84.1358,84.1358,10.7834,13.7,optimal
136,3,40,912.414,0.392,912.414,0.392,912.022,827.8862,Discharge,84.1358,84.1358,7.6711,10.52,optimal
137,3,41,952.766,0.452,952.766,0.452,952.314,530.635,Discharge,421.679,421.679,5.6762,7.54,optimal
138,3,42,956.926,0.296,956.926,0.296,956.63,534.951,Discharge,421.679,421.679,3.6651,5.53,optimal
139,3,43,930.438,0.276,930.438,0.276,930.162,508.483,Discharge,421.679,421.679,1.7535,3.53,optimal
140,3,44,862.72,0.272,862.72,0.272,862.448,440.769,Discharge,421.679,421.679,0.0965,1.64,optimal
141,3,45,869.446,0.166,869.446,0.166,869.28,25.6721,Discharge,843.6079,843.6079,0,0.13,optimal
142,3,46,839.256,0.144,839.256,0.144,839.112,-0.0378,Idle,839.1498,839.1498,0.0001,0.05,optimal
143,3,47,763.136,0.06,763.136,0.06,763.076,-63.5913,Charge,826.6673,826.6672,0.2392,0.07,optimal
144,3,48,707.032,0.152,707.032,0.152,706.88,-119.7984,Charge,826.6784,826.6784,0.6896,0.33,optimal
145,4,1,656.018,0.068,656.018,0.068,655.95,-170.7284,Charge,826.6784,826.6784,1.3314,0.8,optimal
146,4,2,617.168,0.24,617.168,0.24,616.928,-209.7504,Charge,826.6784,826.6784,2.1199,1.45,optimal
147,4,3,542.986,0.18,542.986,0.18,542.806,-283.8724,Charge,826.6784,826.6784,3.1871,2.26,optimal
148,4,4,524.002,0.186,524.002,0.186,523.816,-302.8624,Charge,826.6784,826.6784,4.3257,3.34,optimal
149,4,5,533.98,0.12,533.98,0.12,533.86,-292.8184,Charge,826.6784,826.6784,5.4265,4.47,optimal
150,4,6,491.246,0.06,491.246,0.06,491.186,-335.4924,Charge,826.6784,826.6784,6.6878,5.56,optimal
151,4,7,496.276,0.272,496.276,0.272,496.004,-330.6744,Charge,826.6784,826.6784,7.9309,6.84,optimal
152,4,8,476.466,0.108,476.466,0.108,476.358,-350.3204,Charge,826.6784,826.6784,9.2479,8.07,optimal
153,4,9,478.144,0.156,478.144,0.156,477.988,-348.6904,Charge,826.6784,826.6784,10.5588,9.39,optimal
154,4,10,453.054,0.168,453.054,0.168,452.886,-373.7924,Charge,826.6784,826.6784,11.964,10.73,optimal
155,4,11,505.97,0.276,505.97,0.276,505.694,-320.9844,Charge,826.6784,826.6784,13.1707,12.13,optimal
156,4,12,527.978,0.284,527.978,0.284,527.694,-298.9844,Charge,826.6784,826.6784,14.2947,13.34,optimal
157,4,13,588.81,0.42,588.81,0.42,588.39,-238.2884,Charge,826.6784,826.6784,15.1906,14.45,optimal
158,4,14,617.064,11.41,617.064,11.41,605.654,-221.0244,Charge,826.6784,826.6784,16.0215,15.32,optimal
159,4,15,664.798,47.038,664.798,47.038,617.76,204.5458,Discharge,413.2142,413.2142,15.2525,16,optimal
160,4,16,644.312,105.134,644.312,105.134,539.178,125.9638,Discharge,413.2142,413.2142,14.779,15.24,optimal
161,4,17,668.77,195.638,668.77,195.638,473.132,59.9178,Discharge,413.2142,413.2142,14.5537,14.78,optimal
162,4,18,712.992,279.672,712.992,279.672,433.32,20.1058,Discharge,413.2142,413.2142,14.4781,14.55,optimal
163,4,19,739.104,306.064,739.104,306.064,433.04,19.8258,Discharge,413.2142,413.2142,14.4036,14.45,optimal
164,4,20,717.306,383.49,717.306,383.49,333.816,-79.3982,Charge,413.2142,413.2142,14.7021,14.39,optimal
165,4,21,705.586,506.788,705.586,506.788,198.798,-214.4162,Charge,413.2142,413.2142,15.5081,14.73,optimal
166,4,22,749.262,515.022,749.262,515.022,234.24,-178.9742,Charge,413.2142,413.2142,16.181,15.51,optimal
167,4,23,703.894,538.398,703.894,538.398,165.496,-247.7182,Charge,413.2142,413.2142,17.1123,16.22,optimal
168,4,24,730.812,596.982,730.812,596.982,133.83,-279.3842,Charge,413.2142,413.2142,18.1626,17.16,optimal
169,4,25,717.972,690.526,717.972,690.526,27.446,-385.7682,Charge,413.2142,413.2142,19.6128,18.23,optimal
170,4,26,716.234,654.568,716.234,654.568,61.666,-351.5482,Charge,413.2142,413.2142,20.9344,19.69,optimal
171,4,27,705.898,595.466,705.898,595.466,110.432,-302.7822,Charge,413.2142,413.2142,22.0727,20.99,optimal
172,4,28,707.158,579.202,707.158,579.202,127.956,-285.2582,Charge,413.2142,413.2142,23.1451,22.11,optimal
173,4,29,675.83,626.078,675.83,626.078,49.752,-32.6908,Charge,82.4428,82.4428,23.268,23.1,optimal
174,4,30,696.904,664.48,696.904,664.48,32.424,-50.0188,Charge,82.4428,82.4428,23.4561,23.25,optimal
175,4,31,667.316,640.572,667.316,640.572,26.744,-55.6988,Charge,82.4428,82.4428,23.6654,23.45,optimal
176,4,32,652.348,570.68,652.348,570.68,81.668,-0.7748,Charge,82.4428,82.4428,23.6684,23.62,optimal
177,4,33,677.366,560.218,677.366,560.218,117.148,34.7052,Discharge,82.4428,82.4428,23.5379,23.61,optimal
178,4,34,715.024,518.334,715.024,518.334,196.69,114.2472,Discharge,82.4428,82.4428,23.1084,23.43,optimal
179,4,35,806.808,382.334,806.808,382.334,424.474,342.0312,Discharge,82.4428,82.4428,21.8226,22.91,optimal
180,4,36,912.658,261.248,912.658,261.248,651.41,568.9672,Discharge,82.4428,82.4428,19.6836,21.55,optimal
181,4,37,926.796,186.884,926.796,186.884,739.912,657.4692,Discharge,82.4428,82.4428,17.2119,19.36,optimal
182,4,38,920.146,130.176,920.146,130.176,789.97,707.5272,Discharge,82.4428,82.4428,14.552,16.89,optimal
183,4,39,931.584,64.894,931.584,64.894,866.69,784.2472,Discharge,82.4428,82.4428,11.6037,14.22,optimal
184,4,40,931.146,11.33,931.146,11.33,919.816,837.3732,Discharge,82.4428,82.4428,8.4557,11.26,optimal
185,4,41,988.884,0.136,988.884,0.136,988.748,575.5338,Discharge,413.2142,413.2142,6.292,8.21,optimal
186,4,42,984.83,0.332,984.83,0.332,984.498,571.2838,Discharge,413.2142,413.2142,4.1444,6.06,optimal
187,4,43,957.894,0.3,957.894,0.3,957.594,544.3798,Discharge,413.2142,413.2142,2.0978,3.91,optimal
188,4,44,882.052,0.156,882.052,0.156,881.896,456.0672,Discharge,425.8288,425.8288,0.3833,1.89,optimal
189,4,45,882.546,0.332,882.546,0.332,882.214,-15.1612,Charge,897.3752,897.3752,0.4403,0.35,optimal
190,4,46,860.55,0.07,860.55,0.07,860.48,-60.3947,Charge,920.8747,920.8747,0.6673,0.41,optimal
191,4,47,761.804,0.108,761.804,0.108,761.696,-178.9714,Charge,940.6674,940.6674,1.3401,0.7,optimal
192,4,48,695.12,0.068,695.12,0.068,695.052,-262.5571,Charge,957.6091,957.6091,2.3272,1.42,optimal
