Node,Phase,VoltageAtPeak_V,VoltageAtPeak_pu,Status
634,A,280.403625488281,1.01228745663639,within
634,B,281.907836914062,1.01771782279445,within
634,C,281.984161376953,1.01799336237167,within
611,C,2288.42919921875,0.953115035076531,within
632,B,2460.8935546875,1.02494525393065,within
632,A,2460.8935546875,1.02494525393065,within
632,C,2462.22338867188,1.02549912064635,within
633,A,2456.58837890625,1.02315217780352,within
633,B,2458.68115234375,1.02402380355841,within
633,C,2458.96850585938,1.02414348432294,within
645,B,2446.60693359375,1.01899497442472,within
645,C,2457.14404296875,1.02338360806695,within
646,B,2442.52880859375,1.01729646338765,within
646,C,2455.07470703125,1.02252174386974,within
652,A,1953.6103515625,0.813665285948563,UNDER
671,A,1968.26843261719,0.819770275975505,UNDER
671,B,2422.59399414062,1.00899375016269,within
671,C,2297.92407226562,0.957069584450489,within
675,A,1950.71862792969,0.812460902927817,UNDER
675,B,2424.52758789062,1.00979907867165,within
675,C,2294.81860351562,0.95577617805732,within
680,A,1968.26843261719,0.819770275975505,UNDER
680,B,2422.59399414062,1.00899375016269,within
680,C,2297.92407226562,0.957069584450489,within
684,A,1964.2861328125,0.818111675473761,UNDER
684,C,2293.625,0.955279050395669,within
692,A,1968.26843261719,0.819770275975505,UNDER
692,B,2422.59399414062,1.00899375016269,within
692,C,2297.92407226562,0.957069584450489,within
