Time,Node 632.Probe1
0.0,1760983.25
1.0,1724398.75
2.0,1750559.625
3.0,1627555.125
4.0,1722277.0
5.0,1586209.5
6.0,1549916.5
7.0,1609661.0
8.0,1696344.25
9.0,227845.078125
10.0,200584.84375
11.0,197987.15625
12.0,227106.625
13.0,950133.0625
14.0,898776.5
15.0,957880.9375
16.0,961866.6875
17.0,957604.4375
18.0,871185.125
19.0,964040.0
20.0,878587.25
21.0,904206.0625
22.0,963067.6875
23.0,872576.1875
24.0,930187.75
25.0,928275.0
26.0,968117.125
27.0,904324.75
28.0,887870.3125
29.0,940677.1875
30.0,928890.8125
31.0,885466.25
32.0,900560.5
33.0,900545.625
34.0,876592.75
35.0,947104.75
36.0,907508.5625
37.0,967636.375
38.0,958881.625
39.0,954098.6875
40.0,938078.8125
41.0,486164.8125
42.0,432327.53125
43.0,488719.53125
44.0,457430.40625
45.0,480089.78125
46.0,473152.59375
47.0,487413.46875
48.0,487439.125
49.0,470720.53125
50.0,441342.96875
51.0,475491.6875
52.0,480511.125
53.0,449508.6875
54.0,482004.5
55.0,487762.875
56.0,454776.53125
57.0,444785.09375
58.0,489683.9375
59.0,486641.6875
60.0,424877.9375
61.0,480886.9375
62.0,466834.15625
63.0,433148.6875
64.0,463099.15625
65.0,479777.1875
66.0,488268.90625
67.0,486247.40625
68.0,431814.65625
69.0,76078.8203125
70.0,84749.1953125
71.0,93766.765625
72.0,109967.546875
73.0,114611.15625
74.0,75059.7265625
75.0,60536.97265625
76.0,65534.296875
77.0,63403.56640625
78.0,122886.53125
79.0,73606.90625
80.0,76280.3984375
81.0,73665.2578125
82.0,65264.01171875
83.0,113076.484375
84.0,107037.8984375
85.0,121940.0703125
86.0,122922.2421875
87.0,80706.59375
88.0,113858.03125
89.0,76120.5859375
90.0,92387.875
91.0,86198.1171875
92.0,77608.296875
93.0,450037.75
94.0,473764.40625
95.0,463770.96875
96.0,475219.09375
97.0,440249.5625
98.0,468083.1875
99.0,485190.15625
100.0,444969.40625
101.0,956926.125
102.0,961256.125
103.0,929070.3125
104.0,955497.75
105.0,894184.6875
106.0,896329.8125
107.0,880007.625
108.0,883747.875
109.0,2227773.5
110.0,2149071.75
111.0,2224983.25
112.0,2078878.0
113.0,2236874.0
114.0,2155790.0
115.0,2094483.75
116.0,2130822.25
117.0,2135591.0
118.0,2190296.75
119.0,2058340.375
120.0,2230352.0
121.0,2049175.75
122.0,2236313.5
123.0,2077345.625
124.0,2171048.75
125.0,2110638.75
126.0,2147897.0
127.0,2142815.5
128.0,2051773.625
129.0,2227344.0
130.0,2057279.0
131.0,2096129.75
132.0,2051132.125
133.0,2216780.25
134.0,2119642.25
135.0,2096310.375
136.0,2082907.625
137.0,1094858.25
138.0,1055514.25
139.0,1019304.0
140.0,1087824.0
141.0,1029385.6875
142.0,1018811.125
143.0,1027370.875
144.0,1084159.0
145.0,1095548.125
