Time,Node 632.Probe1
0.0,1548313.625
1.0,1606984.625
2.0,1692639.625
3.0,1655339.625
4.0,1655894.625
5.0,1545842.625
6.0,1607143.625
7.0,1546401.125
8.0,1584479.5
9.0,1542529.25
10.0,218113.21875
11.0,224505.828125
12.0,216463.515625
13.0,203852.640625
14.0,192021.84375
15.0,220601.546875
16.0,181946.71875
17.0,212185.265625
18.0,179601.765625
19.0,766505.375
20.0,752991.9375
21.0,801271.875
22.0,808814.4375
23.0,811371.6875
24.0,804064.25
25.0,766188.5
26.0,763160.4375
27.0,750980.1875
28.0,817281.5625
29.0,751970.3125
30.0,754476.75
31.0,818780.0
32.0,822145.4375
33.0,753911.4375
34.0,818646.125
35.0,810581.25
36.0,823682.875
37.0,764836.1875
38.0,791548.1875
39.0,764555.3125
40.0,762362.125
41.0,824575.6875
42.0,817147.0
43.0,820449.5625
44.0,815332.3125
45.0,472449.90625
46.0,450641.0625
47.0,463495.1875
48.0,520453.34375
49.0,511783.15625
50.0,515896.9375
51.0,502043.96875
52.0,459967.34375
53.0,455456.90625
54.0,506550.65625
55.0,476987.875
56.0,479801.0
57.0,526728.1875
58.0,461001.90625
59.0,530294.875
60.0,478115.375
61.0,521088.65625
62.0,541145.3125
63.0,523362.03125
64.0,545382.0625
65.0,494926.71875
66.0,526099.375
67.0,563365.3125
68.0,574389.375
69.0,585512.5625
70.0,518499.59375
71.0,562753.0
72.0,598843.75
73.0,237553.0
74.0,296337.1875
75.0,240659.96875
76.0,296925.40625
77.0,313768.125
78.0,272439.15625
79.0,286289.71875
80.0,239390.421875
81.0,262402.4375
82.0,253977.53125
83.0,261447.953125
84.0,315126.3125
85.0,314942.5
86.0,233430.28125
87.0,288509.125
88.0,274402.15625
89.0,301467.75
90.0,254432.4375
91.0,249507.640625
92.0,245316.15625
93.0,312810.3125
94.0,305479.09375
95.0,250824.171875
96.0,273040.5625
97.0,652747.1875
98.0,645123.25
99.0,618621.8125
100.0,631861.5
101.0,671093.4375
102.0,680073.625
103.0,627745.0625
104.0,634245.4375
105.0,1133871.75
106.0,1133987.75
107.0,1081852.25
108.0,1092635.25
109.0,1149188.125
110.0,1079763.5
111.0,1101023.875
112.0,1148644.75
113.0,1098905.75
114.0,1087567.25
115.0,1108763.875
116.0,1081618.375
117.0,1082447.75
118.0,1140268.75
119.0,1113326.0
120.0,1097296.375
121.0,1072632.375
122.0,1073157.0
123.0,1075856.75
124.0,1070705.5
125.0,1147386.625
126.0,1130719.875
127.0,1112888.875
128.0,1087868.5
129.0,1091214.625
130.0,1075268.75
131.0,1136579.75
132.0,1078212.875
133.0,1117449.625
134.0,1111385.0
