step,day,k,p_load_fc_kw,p_pv_fc_kw,p_load_total_actual_kw,p_pv_total_actual_kw,baseline_grid_kw,battery_agg_kw,battery_action,grid_kw,grid_forecast_kw,soc_predicted_pct,soc_measured_646_pct,mpc_status
51,2,3,601.122,0.164,601.122,0.164,600.958,-485.0808,Charge,1086.0388,1086.0388,66.7534,65.03,optimal
52,2,4,559.964,0.156,559.964,0.156,559.808,-526.2308,Charge,1086.0388,1086.0388,68.7317,66.86,optimal
53,2,5,585.936,0.296,585.936,0.296,585.64,-500.3988,Charge,1086.0388,1086.0388,70.6129,68.81,optimal
54,2,6,558.69,0.2,558.69,0.2,558.49,-527.5488,Charge,1086.0388,1086.0388,72.5961,70.69,optimal
55,2,7,575.054,0.0,575.054,0.0,575.054,-510.9848,Charge,1086.0388,1086.0388,74.5171,72.64,optimal
56,2,8,568.032,0.06,568.032,0.06,567.972,-518.0668,Charge,1086.0388,1086.0388,76.4648,74.56,optimal
57,2,9,571.316,0.108,571.316,0.108,571.208,-514.8308,Charge,1086.0388,1086.0388,78.4002,76.52,optimal
58,2,10,560.216,0.44,560.216,0.44,559.776,-526.2628,Charge,1086.0388,1086.0388,80.3786,78.43,optimal
59,2,11,559.922,0.232,559.922,0.232,559.69,-526.3488,Charge,1086.0388,1086.0388,82.3574,80.39,optimal
60,2,12,587.524,0.228,587.524,0.228,587.296,-498.7428,Charge,1086.0388,1086.0388,84.2324,82.34,optimal
61,2,13,604.91,9.206,604.91,9.206,595.704,-490.3348,Charge,1086.0388,1086.0388,86.0757,84.21,optimal
62,2,14,661.894,64.44,661.894,64.44,597.454,-488.5848,Charge,1086.0388,1086.0388,87.9125,86.07,optimal
63,2,15,689.118,175.972,689.118,175.972,513.146,-29.7484,Charge,542.8944,542.8944,88.0244,87.71,optimal
64,2,16,743.098,314.808,743.098,314.808,428.29,-114.6044,Charge,542.8944,542.8944,88.4552,87.84,optimal
65,2,17,823.554,443.502,823.554,443.502,380.052,-162.8424,Charge,542.8944,542.8944,89.0674,88.3,optimal
66,2,18,851.35,595.642,851.35,595.642,255.708,-287.1864,Charge,542.8944,542.8944,90.147,88.93,optimal
67,2,19,888.854,789.788,888.854,789.788,99.066,-443.8284,Charge,542.8944,542.8944,91.8156,90.07,optimal
68,2,20,993.1,982.948,993.1,982.948,10.152,-532.7424,Charge,542.8944,542.8944,93.8184,91.77,optimal
69,2,21,1218.084,1036.966,1218.084,1036.966,181.118,-361.7764,Charge,542.8944,542.8944,95.1784,93.72,optimal
70,2,22,1283.24,1090.962,1283.24,1090.962,192.278,-350.6164,Charge,542.8944,542.8944,96.4965,95.09,optimal
71,2,23,1446.28,1178.128,1446.28,1178.128,268.152,-274.7424,Charge,542.8944,542.8944,97.5294,96.38,optimal
72,2,24,1578.538,1355.272,1578.538,1355.272,223.266,-319.6284,Charge,542.8944,542.8944,98.731,97.43,optimal
73,2,25,1841.69,1500.324,1841.69,1500.324,341.366,-201.5284,Charge,542.8944,542.8944,99.4886,98.61,optimal
74,2,26,1973.82,1516.364,1973.82,1516.364,457.456,-85.4384,Charge,542.8944,542.8944,99.8098,99.3,optimal
75,2,27,2069.084,1576.776,2069.084,1576.776,492.308,-50.5864,Charge,542.8944,542.8944,100.0,99.63,optimal
76,2,28,2252.562,1550.002,2252.562,1550.002,702.56,-0.071,Idle,702.631,702.6311,100.0003,99.81,optimal
77,2,29,2376.652,1383.374,2376.652,1383.374,993.278,611.0158,Discharge,382.2622,382.2622,97.7031,99.58,optimal
78,2,30,2483.374,1253.08,2483.374,1253.08,1230.294,848.0318,Discharge,382.2622,382.2622,94.515,97.18,optimal
79,2,31,2550.682,1185.186,2550.682,1185.186,1365.496,983.2338,Discharge,382.2622,382.2622,90.8186,93.95,optimal
80,2,32,2615.23,1134.09,2615.23,1134.09,1481.14,1098.8778,Discharge,382.2622,382.2622,86.6875,90.23,optimal
81,2,33,2676.102,991.514,2676.102,991.514,1684.588,1302.3258,Discharge,382.2622,382.2622,81.7915,86.03,optimal
82,2,34,2840.86,774.424,2840.86,774.424,2066.436,1684.1738,Discharge,382.2622,382.2622,75.4601,80.99,optimal
83,2,35,2979.258,591.472,2979.258,591.472,2387.786,2005.5238,Discharge,382.2622,382.2622,67.9205,74.54,optimal
84,2,36,3124.774,388.886,3124.774,388.886,2735.888,2353.6258,Discharge,382.2622,382.2622,59.0723,66.86,optimal
85,2,37,3289.958,272.084,3289.958,272.084,3017.874,2635.6118,Discharge,382.2622,382.2622,49.164,57.88,optimal
86,2,38,3254.864,165.43,3254.864,165.43,3089.434,2707.1718,Discharge,382.2622,382.2622,38.9866,47.95,optimal
87,2,39,3290.296,65.964,3290.296,65.964,3224.332,2842.0698,Discharge,382.2622,382.2622,28.3022,37.7,optimal
88,2,40,3289.316,13.89,3289.316,13.89,3275.426,2893.1638,Discharge,382.2622,382.2622,17.4256,27.0,optimal
89,2,41,3251.492,0.196,3251.492,0.196,3251.296,1338.985,Discharge,1912.311,1912.311,12.3918,16.7,optimal
90,2,42,3191.914,0.172,3191.914,0.172,3191.742,1279.431,Discharge,1912.311,1912.311,7.5819,11.68,optimal
91,2,43,2980.566,0.272,2980.566,0.272,2980.294,1067.983,Discharge,1912.311,1912.311,3.567,6.95,optimal
92,2,44,2861.296,0.174,2861.296,0.174,2861.122,948.811,Discharge,1912.311,1912.311,-0.0,2.98,optimal
93,2,45,2487.95,0.234,2487.95,0.234,2487.716,-0.0187,Idle,2487.7347,2487.7347,0.0001,0.0,optimal
94,2,46,2227.222,0.124,2227.222,0.124,2227.098,0.0546,Idle,2227.0434,2227.0434,-0.0001,0.0,optimal
95,2,47,1848.324,0.16,1848.324,0.16,1848.164,-0.0179,Idle,1848.1819,1848.1819,-0.0,0.0,optimal
96,2,48,1702.788,0.018,1702.788,0.018,1702.77,0.0401,Idle,1702.7299,1702.7299,-0.0002,0.0,optimal
97,3,1,1505.618,0.108,1505.618,0.108,1505.51,-0.02,Idle,1505.53,1505.53,0.0,0.0,optimal
98,3,2,1455.584,0.126,1455.584,0.126,1455.458,-0.0143,Idle,1455.4723,1455.4723,0.0001,0.0,optimal
99,3,3,1345.458,0.144,1345.458,0.144,1345.314,0.0599,Idle,1345.2541,1345.2541,-0.0002,0.0,optimal
100,3,4,1233.96,0.18,1233.96,0.18,1233.78,-0.0228,Idle,1233.8028,1233.8028,0.0,0.0,optimal
101,3,5,1231.682,0.108,1231.682,0.108,1231.574,-0.0133,Idle,1231.5873,1231.5873,0.0,0.0,optimal
102,3,6,1217.866,0.382,1217.866,0.382,1217.484,0.0175,Idle,1217.4665,1217.4665,-0.0,0.0,optimal
103,3,7,1142.642,0.108,1142.642,0.108,1142.534,-0.0021,Idle,1142.5361,1142.5361,0.0,0.0,optimal
104,3,8,1068.226,0.404,1068.226,0.404,1067.822,0.0162,Idle,1067.8058,1067.8058,-0.0001,0.0,optimal
105,3,9,1022.156,0.114,1022.156,0.114,1022.042,-0.0081,Idle,1022.0501,1022.0501,0.0,0.0,optimal
106,3,10,988.068,0.12,988.068,0.12,987.948,0.0117,Idle,987.9363,987.9363,-0.0,0.0,optimal
107,3,11,936.502,0.048,936.502,0.048,936.454,-0.0059,Idle,936.4599,936.4599,-0.0,0.0,optimal
108,3,12,856.426,0.324,856.426,0.324,856.102,-45.7358,Charge,901.8378,901.8378,0.1719,0.01,optimal
109,3,13,786.948,6.454,786.948,6.454,780.494,-121.3441,Charge,901.8381,901.8381,0.6281,0.24,optimal
110,3,14,849.116,59.264,849.116,59.264,789.852,-111.9861,Charge,901.8381,901.8381,1.0491,0.68,optimal
111,3,15,827.288,141.474,827.288,141.474,685.814,235.02,Discharge,450.794,450.794,0.1656,0.99,optimal
112,3,16,751.676,256.836,751.676,256.836,494.84,44.046,Discharge,450.794,450.794,0.0,0.18,optimal
113,3,17,774.422,357.312,774.422,357.312,417.11,-4.57,Charge,421.68,421.68,0.0172,0.04,optimal
114,3,18,815.3,485.542,815.3,485.542,329.758,-91.921,Charge,421.679,421.679,0.3627,0.08,optimal
115,3,19,812.048,617.354,812.048,617.354,194.694,-226.985,Charge,421.679,421.679,1.2161,0.47,optimal
116,3,20,766.926,709.204,766.926,709.204,57.722,-363.957,Charge,421.679,421.679,2.5843,1.36,optimal
117,3,21,798.404,795.328,798.404,795.328,3.076,-418.603,Charge,421.679,421.679,4.158,2.75,optimal
118,3,22,797.428,904.484,797.428,904.484,-107.056,-528.735,Charge,421.679,421.679,6.1458,4.36,optimal
119,3,23,796.616,971.204,796.616,971.204,-174.588,-596.267,Charge,421.679,421.679,8.3874,6.4,optimal
120,3,24,819.762,995.868,819.762,995.868,-176.106,-597.785,Charge,421.679,421.679,10.6347,8.65,optimal
121,3,25,854.308,1076.53,854.308,1076.53,-222.222,-643.901,Charge,421.679,421.679,13.0554,10.92,optimal
122,3,26,826.406,1136.318,826.406,1136.318,-309.912,-731.591,Charge,421.679,421.679,15.8057,13.36,optimal
123,3,27,788.852,1158.078,788.852,1158.078,-369.226,-790.905,Charge,421.679,421.679,18.779,16.13,optimal
124,3,28,778.816,985.614,778.816,985.614,-206.798,-628.477,Charge,421.679,421.679,21.1417,19.05,optimal
125,3,29,757.296,1010.638,757.296,1010.638,-253.342,-337.4778,Charge,84.1358,84.1358,22.4104,21.3,optimal
126,3,30,789.612,1031.416,789.612,1031.416,-241.804,-325.9398,Charge,84.1358,84.1358,23.6358,22.57,optimal
127,3,31,808.372,944.736,808.372,944.736,-136.364,-220.4998,Charge,84.1358,84.1358,24.4647,23.75,optimal
128,3,32,833.384,759.524,833.384,759.524,73.86,-10.2758,Charge,84.1358,84.1358,24.5033,24.51,optimal
129,3,33,795.028,649.704,795.028,649.704,145.324,61.1882,Discharge,84.1358,84.1358,24.2733,24.53,optimal
130,3,34,858.284,605.774,858.284,605.774,252.51,168.3742,Discharge,84.1358,84.1358,23.6403,24.24,optimal
131,3,35,879.684,491.478,879.684,491.478,388.206,304.0702,Discharge,84.1358,84.1358,22.4972,23.56,optimal
132,3,36,936.972,292.128,936.972,292.128,644.844,560.7082,Discharge,84.1358,84.1358,20.3893,22.33,optimal
133,3,37,1028.216,126.16,1028.216,126.16,902.056,817.9202,Discharge,84.1358,84.1358,17.3144,20.12,optimal
134,3,38,1019.526,50.478,1019.526,50.478,969.048,884.9122,Discharge,84.1358,84.1358,13.9877,17.01,optimal
135,3,39,949.052,12.596,949.052,12.596,936.456,852.3202,Discharge,84.1358,84.1358,10.7834,13.69,optimal
136,3,40,912.414,0.392,912.414,0.392,912.022,827.8862,Discharge,84.1358,84.1358,7.6711,10.52,optimal
137,3,41,952.766,0.452,952.766,0.452,952.314,530.635,Discharge,421.679,421.679,5.6762,7.54,optimal
138,3,42,956.926,0.296,956.926,0.296,956.63,534.951,Discharge,421.679,421.679,3.6651,5.53,optimal
139,3,43,930.438,0.276,930.438,0.276,930.162,508.483,Discharge,421.679,421.679,1.7535,3.53,optimal
140,3,44,862.72,0.272,862.72,0.272,862.448,440.769,Discharge,421.679,421.679,0.0965,1.64,optimal
141,3,45,869.446,0.166,869.446,0.166,869.28,25.6721,Discharge,843.6079,843.6079,-0.0,0.13,optimal
142,3,46,839.256,0.144,839.256,0.144,839.112,-0.0359,Idle,839.1479,839.1479,0.0001,0.04,optimal
143,3,47,763.136,0.06,763.136,0.06,763.076,-63.6034,Charge,826.6794,826.6794,0.2392,0.07,optimal
144,3,48,707.032,0.152,707.032,0.152,706.88,-119.798,Charge,826.678,826.678,0.6896,0.33,optimal
145,4,1,656.018,0.068,656.018,0.068,655.95,-170.728,Charge,826.678,826.678,1.3314,0.79,optimal
146,4,2,617.168,0.24,617.168,0.24,616.928,-209.75,Charge,826.678,826.678,2.12,1.44,optimal
147,4,3,542.986,0.18,542.986,0.18,542.806,-283.872,Charge,826.678,826.678,3.1872,2.26,optimal
148,4,4,524.002,0.186,524.002,0.186,523.816,-302.862,Charge,826.678,826.678,4.3257,3.34,optimal
149,4,5,533.98,0.12,533.98,0.12,533.86,-292.818,Charge,826.678,826.678,5.4266,4.46,optimal
150,4,6,491.246,0.06,491.246,0.06,491.186,-335.492,Charge,826.678,826.678,6.6878,5.56,optimal
151,4,7,496.276,0.272,496.276,0.272,496.004,-330.674,Charge,826.678,826.678,7.931,6.83,optimal
152,4,8,476.466,0.108,476.466,0.108,476.358,-350.32,Charge,826.678,826.678,9.2479,8.07,optimal
153,4,9,478.144,0.156,478.144,0.156,477.988,-348.69,Charge,826.678,826.678,10.5588,9.39,optimal
154,4,10,453.054,0.168,453.054,0.168,452.886,-373.792,Charge,826.678,826.678,11.964,10.72,optimal
155,4,11,505.97,0.276,505.97,0.276,505.694,-320.984,Charge,826.678,826.678,13.1708,12.12,optimal
156,4,12,527.978,0.284,527.978,0.284,527.694,-298.984,Charge,826.678,826.678,14.2948,13.34,optimal
157,4,13,588.81,0.42,588.81,0.42,588.39,-238.288,Charge,826.678,826.678,15.1906,14.44,optimal
158,4,14,617.064,11.41,617.064,11.41,605.654,-221.024,Charge,826.678,826.678,16.0215,15.32,optimal
159,4,15,664.798,47.038,664.798,47.038,617.76,204.546,Discharge,413.214,413.214,15.2525,15.99,optimal
160,4,16,644.312,105.134,644.312,105.134,539.178,125.964,Discharge,413.214,413.214,14.779,15.24,optimal
161,4,17,668.77,195.638,668.77,195.638,473.132,59.918,Discharge,413.214,413.214,14.5537,14.77,optimal
162,4,18,712.992,279.672,712.992,279.672,433.32,20.106,Discharge,413.214,413.214,14.4781,14.54,optimal
163,4,19,739.104,306.064,739.104,306.064,433.04,19.826,Discharge,413.214,413.214,14.4036,14.44,optimal
164,4,20,717.306,383.49,717.306,383.49,333.816,-79.398,Charge,413.214,413.214,14.7021,14.38,optimal
165,4,21,705.586,506.788,705.586,506.788,198.798,-214.416,Charge,413.214,413.214,15.5082,14.73,optimal
166,4,22,749.262,515.022,749.262,515.022,234.24,-178.974,Charge,413.214,413.214,16.181,15.5,optimal
167,4,23,703.894,538.398,703.894,538.398,165.496,-247.718,Charge,413.214,413.214,17.1123,16.21,optimal
