Time,Node 646.V2_rms,Node 646.V3_rms,Node 652.V1_rms,Node 671.V1_rms,Node 671.V2_rms,Node 671.V3_rms,Node 675.V1_rms,Node 675.V2_rms,Node 675.V3_rms,UpperBound,LowerBound
0.0,2443.5068359375,2455.58984375,2153.061279296875,2166.892578125,2360.83642578125,2343.9599609375,2164.42626953125,2358.488037109375,2341.3388671875,2522.0,2282.0
0.25,2443.521484375,2455.61572265625,2152.517578125,2168.701416015625,2360.9072265625,2343.750244140625,2165.053955078125,2358.580078125,2341.11962890625,2522.0,2282.0
0.5,2443.523193359375,2455.603515625,2152.548095703125,2167.56103515625,2360.916748046875,2343.74462890625,2165.08447265625,2358.59130859375,2341.1142578125,2522.0,2282.0
0.75,2443.5244140625,2455.601806640625,2152.560302734375,2167.5830078125,2360.92333984375,2343.7412109375,2166.27587890625,2358.598876953125,2341.11083984375,2522.0,2282.0
1.0,2444.845458984375,2455.608642578125,2152.57275390625,2167.593505859375,2360.926513671875,2343.739501953125,2165.116455078125,2358.6025390625,2341.109130859375,2522.0,2282.0
1.25,2443.52490234375,2455.608154296875,2153.75146484375,2167.5947265625,2360.927001953125,2343.73974609375,2165.11767578125,2358.60302734375,2341.109619140625,2522.0,2282.0
1.5,2443.525146484375,2456.9345703125,2152.577880859375,2167.59619140625,2360.927734375,2343.739501953125,2165.118896484375,2358.603759765625,2342.374267578125,2522.0,2282.0
1.75,2443.525146484375,2455.612060546875,2152.578369140625,2167.59619140625,2360.927490234375,2343.739501953125,2165.118896484375,2358.603515625,2342.37451171875,2522.0,2282.0
2.0,2443.525146484375,2455.614013671875,2153.746826171875,2167.596435546875,2360.927490234375,2343.739501953125,2165.119140625,2358.603515625,2341.109130859375,2522.0,2282.0
2.25,2443.525146484375,2455.62060546875,2152.578369140625,2167.59619140625,2360.927490234375,2343.7392578125,2165.118896484375,2358.603515625,2341.10888671875,2522.0,2282.0
2.5,2444.845703125,2455.617919921875,2152.580322265625,2167.59619140625,2360.92724609375,2343.739501953125,2165.119140625,2358.603271484375,2341.109130859375,2522.0,2282.0
2.75,2443.525146484375,2455.619873046875,2152.595458984375,2167.596923828125,2360.92724609375,2343.739501953125,2165.11962890625,2358.603515625,2341.109130859375,2522.0,2282.0
3.0,2443.525146484375,2455.609619140625,2152.57470703125,2167.595947265625,2360.927490234375,2343.7392578125,2166.288818359375,2358.603515625,2341.10888671875,2522.0,2282.0
3.25,2443.525146484375,2455.616943359375,2152.56640625,2167.59619140625,2360.9267578125,2343.7392578125,2165.118896484375,2358.60302734375,2341.10888671875,2522.0,2282.0
3.5,2443.525146484375,2455.617919921875,2152.5869140625,2167.59619140625,2360.927490234375,2343.739501953125,2165.118896484375,2359.878173828125,2341.109375,2522.0,2282.0
3.75,2443.525146484375,2456.95703125,2152.575927734375,2167.59619140625,2362.203369140625,2343.7392578125,2165.118896484375,2358.603515625,2342.374267578125,2522.0,2282.0
4.0,2443.525146484375,2455.609375,2153.759521484375,2167.59619140625,2360.92724609375,2343.739501953125,2165.119140625,2358.603271484375,2341.109130859375,2522.0,2282.0
4.25,2443.525146484375,2455.611328125,2153.742919921875,2167.5966796875,2360.92724609375,2343.73974609375,2165.119384765625,2358.603515625,2341.109375,2522.0,2282.0
