Node,Phase,VoltageAtPeak_V,VoltageAtPeak_pu,Status
634,A,280.982635498047,1.01437774548031,within
634,B,282.300720214844,1.01913617406081,within
634,C,282.463806152344,1.01972493195792,within
611,C,2310.68188476562,0.962383125683309,within
632,B,2460.8935546875,1.02494525393065,within
632,A,2460.8935546875,1.02494525393065,within
632,C,2460.8935546875,1.02494525393065,within
633,A,2457.27001953125,1.0234360764395,within
633,B,2459.08544921875,1.02419219042847,within
633,C,2460.82373046875,1.02491617262339,within
645,B,2449.12036132812,1.02004179980347,within
645,C,2457.8603515625,1.02368194567368,within
646,B,2445.55712890625,1.01855773798678,within
646,C,2456.27758789062,1.02302273548131,within
652,A,2043.37329101562,0.851050933367607,UNDER
671,A,2055.67065429688,0.856172700665087,UNDER
671,B,2426.43872070312,1.01059505235449,within
671,C,2318.69458007812,0.965720358216628,within
675,A,2041.16357421875,0.850130601507185,UNDER
675,B,2429.2119140625,1.0117500683309,within
675,C,2316.24267578125,0.964699156926801,within
680,A,2055.67065429688,0.856172700665087,UNDER
680,B,2426.43872070312,1.01059505235449,within
680,C,2318.69458007812,0.965720358216628,within
684,A,2052.294921875,0.854766731309871,UNDER
684,C,2315.09936523438,0.964222975941014,within
692,A,2055.67065429688,0.856172700665087,UNDER
692,B,2426.43872070312,1.01059505235449,within
692,C,2318.69458007812,0.965720358216628,within
