SimHour,Node646B_ActivePower_kW,Node646B_RMSVoltage_V
0,12.7513740234375,2457.04711914062
0.0625,12.7577685546875,2457.046875
0.125,12.7601953125,2457.046875
0.1875,12.761076171875,2457.046875
0.25,12.7563212890625,2457.046875
0.3125,12.7556787109375,2458.37451171875
0.375,12.7596650390625,2457.04736328125
0.4375,14.74384375,2456.97778320312
0.5,14.7646083984375,2456.97705078125
0.5625,14.76138671875,2456.97729492188
0.625,14.759890625,2456.9794921875
0.6875,14.763396484375,2456.97509765625
0.75,14.7617216796875,2456.97705078125
0.8125,14.7644755859375,2456.97705078125
0.875,14.761501953125,2458.3046875
0.9375,16.76158203125,2456.8583984375
1,16.746765625,2456.85595703125
1.0625,16.760298828125,2456.85620117188
1.125,16.764109375,2456.85595703125
1.1875,16.760431640625,2456.85620117188
1.25,16.764123046875,2456.85766601562
1.3125,16.766568359375,2456.85595703125
1.375,16.765953125,2456.85620117188
1.4375,19.76596875,2456.69995117188
1.5,19.7634375,2456.70068359375
1.5625,19.7449765625,2456.69995117188
1.625,19.767265625,2456.70043945312
1.6875,19.76603125,2456.69848632812
1.75,19.765162109375,2456.703125
1.8125,19.767720703125,2456.7001953125
1.875,19.76823046875,2456.69995117188
1.9375,19.7629921875,2456.69995117188
2,19.765865234375,2456.7001953125
2.0625,19.76587890625,2456.70239257812
2.125,19.7472421875,2456.70043945312
2.1875,19.765345703125,2456.69873046875
2.25,19.7695390625,2456.70385742188
2.3125,19.768947265625,2456.69995117188
2.375,19.768357421875,2456.69946289062
2.4375,20.768107421875,2456.560546875
2.5,20.767697265625,2456.56225585938
2.5625,20.769029296875,2457.8916015625
2.625,20.772515625,2457.88989257812
2.6875,20.74528515625,2456.56225585938
2.75,20.76569140625,2456.56225585938
2.8125,20.7552578125,2456.564453125
2.875,20.768314453125,2456.5634765625
2.9375,23.774326171875,2456.40649414062
3,23.7743515625,2456.408203125
3.0625,23.772427734375,2456.40649414062
3.125,23.772240234375,2457.73559570312
3.1875,23.771787109375,2457.73217773438
3.25,23.744671875,2456.40625
3.3125,23.77142578125,2456.40649414062
3.375,23.76505859375,2456.40625
3.4375,27.7743828125,2456.32006835938
3.5,27.778525390625,2456.3203125
3.5625,27.77616796875,2456.318359375
3.625,27.779912109375,2456.31860351562
3.6875,27.772826171875,2456.31665039062
3.75,27.774115234375,2456.31884765625
3.8125,27.74787109375,2456.32055664062
3.875,27.778810546875,2456.318359375
3.9375,26.767400390625,2456.408203125
4,26.763708984375,2456.40478515625
4.0625,26.7779765625,2456.40478515625
4.125,26.777455078125,2456.40478515625
4.1875,26.77842578125,2456.40502929688
4.25,26.774962890625,2456.40478515625
4.3125,26.771740234375,2456.40307617188
4.375,26.77733984375,2456.40478515625
4.4375,24.775814453125,2456.57739257812
4.5,24.7618515625,2456.57739257812
4.5625,24.764419921875,2456.5791015625
4.625,24.77317578125,2456.578125
4.6875,24.768859375,2456.5771484375
4.75,24.770341796875,2456.57739257812
4.8125,24.7738515625,2457.90478515625
4.875,24.768001953125,2456.57763671875
4.9375,10.7551943359375,2457.47436523438
5,10.75615234375,2457.47607421875
5.0625,10.7559013671875,2457.47631835938
5.125,10.7498349609375,2457.47631835938
5.1875,10.7585419921875,2457.47631835938
5.25,10.762625,2457.47631835938
5.3125,10.7580751953125,2457.47631835938
5.375,10.758833984375,2458.80419921875
5.4375,12.758638671875,2457.35546875
5.5,12.7586591796875,2457.35522460938
5.5625,12.758169921875,2457.35473632812
5.625,12.758662109375,2457.35693359375
5.6875,12.75493359375,2457.35668945312
5.75,12.75726171875,2457.35595703125
5.8125,12.7641748046875,2457.35522460938
5.875,12.7602890625,2457.35693359375
5.9375,12.76114453125,2457.25268554688
6,12.7578349609375,2457.25244140625
6.0625,12.7568134765625,2457.25244140625
6.125,12.760818359375,2457.25244140625
6.1875,12.7563984375,2457.25415039062
6.25,12.7527373046875,2457.25463867188
6.3125,12.7546220703125,2457.25268554688
6.375,12.75662890625,2457.25244140625
6.4375,17.7656875,2457.02880859375
6.5,17.7653359375,2457.029296875
6.5625,17.74496484375,2457.02685546875
6.625,17.763048828125,2457.02685546875
6.6875,17.759671875,2457.02661132812
6.75,17.75521484375,2457.02709960938
6.8125,17.756736328125,2457.02856445312
6.875,17.76303515625,2457.02685546875
6.9375,18.763435546875,2457.30126953125
7,18.765951171875,2457.30053710938
7.0625,18.763041015625,2458.62841796875
7.125,18.759654296875,2457.30053710938
7.1875,18.76587890625,2457.30004882812
7.25,18.770728515625,2457.30053710938
7.3125,18.763064453125,2457.30224609375
7.375,18.75675,2457.30053710938
7.4375,19.76326953125,2457.4716796875
7.5,19.76694140625,2457.47290039062
7.5625,19.765173828125,2457.47265625
7.625,19.763697265625,2457.47119140625
7.6875,19.76606640625,2457.47143554688
7.75,19.76969921875,2457.47119140625
7.8125,19.768388671875,2457.47143554688
7.875,19.76209375,2457.47143554688
7.9375,18.75783984375,2457.50634765625
8,18.764482421875,2457.505859375
8.0625,18.769982421875,2457.50610351562
8.125,18.766595703125,2457.50610351562
8.1875,18.764087890625,2457.50634765625
8.25,18.767552734375,2457.50634765625
